Top Work Values,Job Zone,Code,Occupation,Featured
IRS,1,45-3031.00,Fishing and Hunting Workers,Y
IRW,1,47-2161.00,Plasterers and Stucco Masons,Y
SIA,1,45-2091.00,Agricultural Equipment Operators,Y
SIR,1,39-3091.00,Amusement and Recreation Attendants,Y
SIW,1,45-4021.00,Fallers,Y
SIW,1,45-4022.00,Logging Equipment Operators,Y
SIA,1,51-9123.00,"Painting, Coating, and Decorating Workers",Y
RSI,1,35-3023.01,Baristas,Y
RSI,1,47-2051.00,Cement Masons and Concrete Finishers,Y
SRI,1,53-7011.00,Conveyor Operators and Tenders,Y
RSI,1,35-2011.00,"Cooks, Fast Food",Y
SRI,1,51-9031.00,"Cutters and Trimmers, Hand",Y
RSI,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Y
RSI,1,35-9021.00,Dishwashers,Y
RAI,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Y
RSI,1,51-6011.00,Laundry and Dry-Cleaning Workers,Y
RSI,1,37-2012.00,Maids and Housekeeping Cleaners,Y
SRI,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Y
SRI,1,51-6031.00,Sewing Machine Operators,Y
ISR,2,53-1041.00,Aircraft Cargo Handling Supervisors,Y
IWA,2,45-2021.00,Animal Breeders,
IRA,2,39-2011.00,Animal Trainers,Y
IAS,2,49-3091.00,Bicycle Repairers,Y
IRS,2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",Y
IRS,2,35-2015.00,"Cooks, Short Order",Y
ISR,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Y
ISW,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,Y
IRS,2,41-1011.00,First-Line Supervisors of Retail Sales Workers,Y
IRS,2,11-9051.00,Food Service Managers,Y
ISA,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,Y
ISW,2,49-9031.00,Home Appliance Repairers,
IWA,2,49-9094.00,Locksmiths and Safe Repairers,
