Top Work Values,Job Zone,Code,Occupation,Featured
RAI,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Y
SIA,1,45-2091.00,Agricultural Equipment Operators,Y
SRA,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Y
SIA,1,51-9123.00,"Painting, Coating, and Decorating Workers",Y
RSA,1,51-6021.00,"Pressers, Textile, Garment, and Related Materials",Y
ASI,2,45-2011.00,Agricultural Inspectors,Y
ARcR,2,27-2021.00,Athletes and Sports Competitors,Y
AIS,2,51-3011.00,Bakers,Y
ARI,2,27-1023.00,Floral Designers,Y
ARcI,2,53-1042.01,Recycling Coordinators,Y
AIR,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",Y
AIRc,2,27-2023.00,"Umpires, Referees, and Other Sports Officials",Y
RAI,2,27-2011.00,Actors,Y
IAS,2,49-3091.00,Bicycle Repairers,Y
SAW,2,49-9099.01,Geothermal Technicians,Y
SAI,2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Y
SAI,2,51-5112.00,Printing Press Operators,Y
IAW,2,33-9099.02,Retail Loss Prevention Specialists,Y
SAR,2,53-5011.00,Sailors and Marine Oilers,Y
SAI,2,51-6041.00,Shoe and Leather Workers and Repairers,Y
SAW,2,47-2231.00,Solar Photovoltaic Installers,Y
SAW,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing",Y
SAW,2,23-2093.00,"Title Examiners, Abstractors, and Searchers",Y
SAW,2,51-6093.00,Upholsterers,Y
RSA,2,31-1122.00,Personal Care Aides,Y
AWS,3,17-3027.01,Automotive Engineering Technicians,Y
AIR,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Y
AIW,3,27-1012.00,Craft Artists,
AIRc,3,13-1041.08,Customs Brokers,Y
ARW,3,27-2031.00,Dancers,
ASI,3,43-9031.00,Desktop Publishers,
AWI,3,33-3021.00,Detectives and Criminal Investigators,Y
AIW,3,27-1022.00,Fashion Designers,Y
AIS,3,33-2021.00,Fire Inspectors and Investigators,Y
AIR,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists,Y
AWRc,3,11-3051.06,Hydroelectric Production Managers,Y
AWS,3,29-2035.00,Magnetic Resonance Imaging Technologists,Y
ARW,3,29-2099.05,Ophthalmic Medical Technologists,Y
ASR,3,17-3029.08,Photonics Technicians,Y
AIS,3,33-3051.00,Police and Sheriff's Patrol Officers,Y
ARW,3,51-9195.05,"Potters, Manufacturing",
ASW,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",Y
AIRc,3,47-1011.03,Solar Energy Installation Managers,Y
AIW,3,41-4011.07,Solar Sales Representatives and Assessors,Y
ASR,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",
ASW,3,15-1241.01,Telecommunications Engineering Specialists,Y
AWRc,3,11-9199.09,Wind Energy Operations Managers,Y
IAS,3,13-1041.06,Coroners,Y
RAI,3,39-9031.00,Exercise Trainers and Group Fitness Instructors,Y
RAW,3,31-2011.00,Occupational Therapy Assistants,Y
AIRc,4,13-2011.00,Accountants and Auditors,Y
AIRc,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Y
AIR,4,19-2021.00,Atmospheric and Space Scientists,Y
AWRc,4,17-2141.02,Automotive Engineers,
AWI,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,
ARcI,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,
ARW,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,
AIW,4,13-1199.04,Business Continuity Planners,Y
AWRc,4,15-2051.01,Business Intelligence Analysts,Y
AIW,4,17-1021.00,Cartographers and Photogrammetrists,
AIW,4,19-2031.00,Chemists,
AIR,4,27-2032.00,Choreographers,
ASI,4,15-2051.02,Clinical Data Managers,
ARI,4,27-2022.00,Coaches and Scouts,
ARI,4,27-1021.00,Commercial and Industrial Designers,
ASI,4,11-9199.02,Compliance Managers,
AWI,4,15-1241.00,Computer Network Architects,
ASW,4,15-1231.00,Computer Network Support Specialists,
AWI,4,15-1251.00,Computer Programmers,
AIRc,4,15-1299.08,Computer Systems Engineers/Architects,Y
AIRc,4,29-2011.01,Cytogenetic Technologists,Y
AWI,4,15-1243.01,Data Warehousing Specialists,
AWI,4,15-1243.00,Database Architects,Y
ASW,4,15-1299.03,Document Management Specialists,Y
AWI,4,17-2071.00,Electrical Engineers,Y
AWS,4,13-1041.01,Environmental Compliance Inspectors,
AWRc,4,17-2081.00,Environmental Engineers,
ASR,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health",Y
AIRc,4,19-2041.00,"Environmental Scientists and Specialists, Including Health",Y
AIW,4,17-2111.02,Fire-Prevention and Protection Engineers,
ASRc,4,19-1012.00,Food Scientists and Technologists,
ARI,4,13-1131.00,Fundraisers,Y
AIW,4,17-1022.01,Geodetic Surveyors,
AIW,4,15-1299.02,Geographic Information Systems Technologists and Technicians,
AIRc,4,27-1024.00,Graphic Designers,
AIS,4,15-1211.01,Health Informatics Specialists,
AIW,4,15-1299.09,Information Technology Project Managers,Y
AWRc,4,33-3021.06,Intelligence Analysts,
AIR,4,27-1025.00,Interior Designers,
ARS,4,13-1075.00,Labor Relations Specialists,
AIRc,4,13-1081.02,Logistics Analysts,
AIRc,4,13-1081.01,Logistics Engineers,
ARI,4,11-9199.08,Loss Prevention Managers,
AWS,4,13-1161.00,Market Research Analysts and Marketing Specialists,Y
ARcI,4,17-2199.05,Mechatronics Engineers,
ARI,4,25-4013.00,Museum Technicians and Conservators,Y
AIRc,4,27-2041.00,Music Directors and Composers,
ASW,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians,
ARcI,4,27-3023.00,"News Analysts, Reporters, and Journalists",
AIW,4,17-2199.07,Photonics Engineers,
AIRc,4,27-3043.05,"Poets, Lyricists and Creative Writers",
AIS,4,11-9199.01,Regulatory Affairs Managers,
AWR,4,41-9031.00,Sales Engineers,Y
AWI,4,13-1161.01,Search Marketing Strategists,Y
AWI,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",
AWI,4,15-1253.00,Software Quality Assurance Analysts and Testers,Y
AWI,4,17-2199.11,Solar Energy Systems Engineers,
AIW,4,13-1199.05,Sustainability Specialists,
ARRc,4,27-2012.04,Talent Directors,
ARcS,4,17-2051.01,Transportation Engineers,
AIW,4,19-3099.01,Transportation Planners,
AWI,4,11-9121.02,Water Resource Specialists,Y
AWI,4,17-2051.02,Water/Wastewater Engineers,
AWI,4,15-1299.01,Web Administrators,
AIRc,4,11-9199.10,Wind Energy Development Managers,
AWI,4,17-2199.10,Wind Energy Engineers,
ASW,4,27-3043.00,Writers and Authors,
AIR,5,29-1291.00,Acupuncturists,
ARI,5,29-1211.00,Anesthesiologists,
AIRc,5,19-1011.00,Animal Scientists,Y
AIW,5,19-3091.00,Anthropologists and Archeologists,Y
AIW,5,11-9041.00,Architectural and Engineering Managers,
AIR,5,25-1031.00,"Architecture Teachers, Postsecondary",
ARI,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Y
AIRc,5,19-2011.00,Astronomers,
AIRc,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",
ARcI,5,19-1029.04,Biologists,
AIRc,5,15-2041.01,Biostatisticians,Y
AIRc,5,25-1011.00,"Business Teachers, Postsecondary",Y
AWI,5,25-1052.00,"Chemistry Teachers, Postsecondary",
AIW,5,11-1011.03,Chief Sustainability Officers,
ARI,5,21-2011.00,Clergy,
AIRc,5,19-2041.01,Climate Change Policy Analysts,Y
AWI,5,15-1221.00,Computer and Information Research Scientists,Y
