Top Work Values,Job Zone,Code,Occupation,Featured
SIA,1,45-2091.00,Agricultural Equipment Operators,Y
SIR,1,39-3091.00,Amusement and Recreation Attendants,Y
SRI,1,53-7011.00,Conveyor Operators and Tenders,Y
SRI,1,51-9031.00,"Cutters and Trimmers, Hand",Y
SRW,1,47-5011.00,"Derrick Operators, Oil and Gas",Y
SIW,1,45-4021.00,Fallers,Y
SRA,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Y
SRW,1,47-2043.00,Floor Sanders and Finishers,Y
SRW,1,35-2021.00,Food Preparation Workers,Y
SWR,1,45-2041.00,"Graders and Sorters, Agricultural Products",Y
SRW,1,51-9022.00,"Grinding and Polishing Workers, Hand",Y
SIW,1,45-4022.00,Logging Equipment Operators,Y
SRW,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Y
SIA,1,51-9123.00,"Painting, Coating, and Decorating Workers",Y
SRW,1,47-5051.00,"Rock Splitters, Quarry",Y
SRW,1,47-5071.00,"Roustabouts, Oil and Gas",Y
SRI,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Y
SRI,1,51-6031.00,Sewing Machine Operators,Y
RSI,1,35-3023.01,Baristas,Y
RS,1,35-3023.00,Fast Food and Counter Workers,Y
SRA,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders,
SRW,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",
SRI,2,53-6031.00,Automotive and Watercraft Service Attendants,
SRI,2,49-3021.00,Automotive Body and Related Repairers,
SRI,2,49-3022.00,Automotive Glass Installers and Repairers,
SWA,2,51-8099.01,Biofuels Processing Technicians,
SWA,2,51-8013.03,Biomass Plant Technicians,
SWI,2,47-2021.00,Brickmasons and Blockmasons,
SRW,2,53-6011.00,Bridge and Lock Tenders,
SIW,2,47-2031.00,Carpenters,
SIR,2,51-9011.00,Chemical Equipment Operators and Tenders,
SWI,2,51-8091.00,Chemical Plant and System Operators,
SRI,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",
SWI,2,51-2021.00,"Coil Winders, Tapers, and Finishers",
SRW,2,47-2061.00,Construction Laborers,Y
SRW,2,47-5041.00,Continuous Mining Machine Operators,
SRI,2,35-2014.00,"Cooks, Restaurant",Y
SIR,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,
SRI,2,33-3012.00,Correctional Officers and Jailers,
SRI,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks",
SRW,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",
SIR,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",
SRA,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",
SRW,2,43-9021.00,Data Entry Keyers,
SIW,2,51-9081.00,Dental Laboratory Technicians,Y
SIW,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",
SRW,2,53-7031.00,Dredge Operators,
