Top Work Values,Job Zone,Code,Occupation,Featured
ARcR,2,27-2021.00,Athletes and Sports Competitors,Y
RRcW,2,41-9012.00,Models,Y
ARcI,2,53-1042.01,Recycling Coordinators,Y
RIRc,2,41-9011.00,Demonstrators and Product Promoters,Y
RIRc,2,13-1074.00,Farm Labor Contractors,Y
AIRc,2,27-2023.00,"Umpires, Referees, and Other Sports Officials",Y
RcAW,3,11-3051.02,Geothermal Production Managers,Y
IRcA,3,35-1011.00,Chefs and Head Cooks,Y
IRcW,3,33-1012.00,First-Line Supervisors of Police and Detectives,Y
RIRc,3,11-3012.00,Administrative Services Managers,Y
SIRc,3,53-2012.00,Commercial Pilots,Y
AIRc,3,13-1041.08,Customs Brokers,Y
AWRc,3,11-3051.06,Hydroelectric Production Managers,Y
WARc,3,51-9071.00,Jewelers and Precious Stone and Metal Workers,Y
RARc,3,27-2042.00,Musicians and Singers,Y
IARc,3,33-9021.00,Private Detectives and Investigators,Y
RSRc,3,29-1126.00,Respiratory Therapists,Y
AIRc,3,47-1011.03,Solar Energy Installation Managers,Y
AWRc,3,11-9199.09,Wind Energy Operations Managers,Y
RcAI,4,17-2041.00,Chemical Engineers,Y
RcWA,4,17-2072.00,"Electronics Engineers, Except Computer",Y
RcAI,4,17-2141.00,Mechanical Engineers,Y
RcAI,4,27-2012.03,Media Programming Directors,Y
RcAS,4,17-2161.00,Nuclear Engineers,Y
ARcI,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Y
SRcI,4,19-4092.00,Forensic Science Technicians,Y
RRcW,4,11-3121.00,Human Resources Managers,Y
IRcA,4,17-2112.00,Industrial Engineers,Y
ARcI,4,17-2199.05,Mechatronics Engineers,Y
ARcI,4,27-3023.00,"News Analysts, Reporters, and Journalists",Y
IRcA,4,27-2012.00,Producers and Directors,Y
ARcS,4,17-2051.01,Transportation Engineers,Y
AIRc,4,13-2011.00,Accountants and Auditors,Y
AIRc,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Y
AWRc,4,15-2051.01,Business Intelligence Analysts,Y
AIRc,4,15-1299.08,Computer Systems Engineers/Architects,Y
AIRc,4,29-2011.01,Cytogenetic Technologists,Y
WIRc,4,11-3031.00,Financial Managers,Y
RWRc,4,27-3091.00,Interpreters and Translators,Y
RcAW,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Y
RcIA,5,29-1229.01,Allergists and Immunologists,Y
RcAW,5,19-1021.00,Biochemists and Biophysicists,Y
RcIA,5,11-1011.00,Chief Executives,Y
RcAI,5,19-1029.03,Geneticists,Y
RcAI,5,23-1011.00,Lawyers,Y
RcAI,5,19-1022.00,Microbiologists,Y
RcSR,5,29-1051.00,Pharmacists,Y
RcWA,5,19-2012.00,Physicists,Y
RcAI,5,29-1229.05,Preventive Medicine Physicians,Y
IRcA,5,17-1011.00,"Architects, Except Landscape and Naval",Y
ARcI,5,19-1029.04,Biologists,Y
ARcI,5,19-1041.00,Epidemiologists,Y
ARcI,5,29-1216.00,General Internal Medicine Physicians,Y
ARcI,5,29-1229.02,Hospitalists,Y
ARcW,5,11-3031.03,Investment Fund Managers,Y
ARcI,5,19-1042.00,"Medical Scientists, Except Epidemiologists",Y
ARcW,5,29-1217.00,Neurologists,Y
ARcW,5,25-1054.00,"Physics Teachers, Postsecondary",Y
ARcW,5,19-1023.00,Zoologists and Wildlife Biologists,Y
