Importance,Level,Job Zone,Code,Occupation
93,81,3,17-3013.00,Mechanical Drafters
90,78,3,17-3011.00,Architectural and Civil Drafters
89,74,4,27-1021.00,Commercial and Industrial Designers
88,81,4,17-1012.00,Landscape Architects
88,74,4,27-1025.00,Interior Designers
88,74,3,17-3027.00,Mechanical Engineering Technologists and Technicians
88,72,5,27-1027.00,Set and Exhibit Designers
87,78,5,17-1011.00,"Architects, Except Landscape and Naval"
87,74,3,51-7032.00,"Patternmakers, Wood"
85,73,4,17-2051.01,Transportation Engineers
83,82,4,17-2199.05,Mechatronics Engineers
83,77,5,11-9041.00,Architectural and Engineering Managers
81,80,4,17-2199.08,Robotics Engineers
80,76,4,17-2121.00,Marine Engineers and Naval Architects
80,73,3,47-1011.03,Solar Energy Installation Managers
80,72,4,17-2072.00,"Electronics Engineers, Except Computer"
79,78,4,17-2141.02,Automotive Engineers
79,74,4,17-2051.00,Civil Engineers
79,73,4,17-2111.02,Fire-Prevention and Protection Engineers
79,69,3,17-3012.00,Electrical and Electronics Drafters
77,74,4,17-2021.00,Agricultural Engineers
76,73,3,17-3026.00,Industrial Engineering Technologists and Technicians
76,73,4,17-2112.03,Manufacturing Engineers
76,69,3,27-1022.00,Fashion Designers
75,72,5,17-2199.06,Microsystems Engineers
74,60,3,51-9162.00,Computer Numerically Controlled Tool Programmers
73,64,2,49-9044.00,Millwrights
73,64,4,17-2199.11,Solar Energy Systems Engineers
72,72,4,17-2051.02,Water/Wastewater Engineers
71,75,4,17-2061.00,Computer Hardware Engineers
71,75,4,17-2199.07,Photonics Engineers
71,65,5,25-1031.00,"Architecture Teachers, Postsecondary"
70,60,4,17-2141.00,Mechanical Engineers
69,65,4,17-2071.00,Electrical Engineers
69,64,4,17-1022.00,Surveyors
68,69,3,17-3024.01,Robotics Technicians
68,62,4,17-2112.00,Industrial Engineers
67,63,3,11-9199.09,Wind Energy Operations Managers
67,59,3,51-4111.00,Tool and Die Makers
67,52,3,17-3022.00,Civil Engineering Technologists and Technicians
66,53,3,47-2011.00,Boilermakers
66,42,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
65,61,2,51-4192.00,"Layout Workers, Metal and Plastic"
65,57,3,51-4062.00,"Patternmakers, Metal and Plastic"
64,63,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
64,58,2,47-2211.00,Sheet Metal Workers
64,52,3,51-7031.00,"Model Makers, Wood"
63,61,4,17-2081.00,Environmental Engineers
62,59,4,17-2199.10,Wind Energy Engineers
62,58,3,49-3011.00,Aircraft Mechanics and Service Technicians
62,55,3,51-8013.04,Hydroelectric Plant Technicians
62,48,3,51-4061.00,"Model Makers, Metal and Plastic"
61,71,4,17-2041.00,Chemical Engineers
61,68,4,17-2011.00,Aerospace Engineers
61,68,4,17-2031.00,Bioengineers and Biomedical Engineers
61,52,3,49-9064.00,Watch and Clock Repairers
61,51,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
61,47,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
60,60,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
60,55,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
60,50,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
60,47,2,47-2031.00,Carpenters
60,45,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
59,56,3,15-1241.01,Telecommunications Engineering Specialists
59,55,3,49-2091.00,Avionics Technicians
59,53,3,47-4021.00,Elevator and Escalator Installers and Repairers
59,49,3,51-4041.00,Machinists
58,67,5,17-2199.09,Nanosystems Engineers
58,57,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
58,55,3,49-3052.00,Motorcycle Mechanics
58,52,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
58,50,2,47-4031.00,Fence Erectors
58,50,3,17-3031.00,Surveying and Mapping Technicians
