Context,Job Zone,Code,Occupation
100,5,29-1215.00,Family Medicine Physicians
100,5,29-1229.06,Sports Medicine Physicians
99,5,29-1229.01,Allergists and Immunologists
99,2,49-3091.00,Bicycle Repairers
99,3,11-9071.00,Gambling Managers
99,5,29-1229.03,Urologists
98,3,53-2021.00,Air Traffic Controllers
98,5,11-1011.00,Chief Executives
98,3,31-2021.00,Physical Therapist Assistants
97,5,29-1021.00,"Dentists, General"
97,5,29-1229.02,Hospitalists
97,3,49-3052.00,Motorcycle Mechanics
97,2,33-3041.00,Parking Enforcement Workers
97,2,47-5013.00,"Service Unit Operators, Oil and Gas"
96,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
96,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
96,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
96,4,29-2011.00,Medical and Clinical Laboratory Technologists
96,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
96,5,29-1241.00,"Ophthalmologists, Except Pediatric"
95,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
95,3,13-1032.00,"Insurance Appraisers, Auto Damage"
95,4,41-3021.00,Insurance Sales Agents
95,4,13-2072.00,Loan Officers
95,5,29-1217.00,Neurologists
95,5,29-1022.00,Oral and Maxillofacial Surgeons
95,3,33-3051.00,Police and Sheriff's Patrol Officers
95,5,29-1224.00,Radiologists
95,2,43-2021.00,Telephone Operators
95,5,29-1131.00,Veterinarians
94,3,53-6051.01,Aviation Inspectors
94,4,29-2011.01,Cytogenetic Technologists
94,2,49-9051.00,Electrical Power-Line Installers and Repairers
94,3,43-4061.00,"Eligibility Interviewers, Government Programs"
94,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
94,5,29-1161.00,Nurse Midwives
94,5,29-1023.00,Orthodontists
94,5,29-1051.00,Pharmacists
94,2,53-7081.00,Refuse and Recyclable Material Collectors
94,3,49-2098.00,Security and Fire Alarm Systems Installers
93,5,29-1211.00,Anesthesiologists
93,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
93,2,47-5041.00,Continuous Mining Machine Operators
93,5,23-1011.00,Lawyers
93,2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
93,3,51-8012.00,Power Distributors and Dispatchers
93,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
93,3,11-9179.02,Spa Managers
92,2,53-1041.00,Aircraft Cargo Handling Supervisors
92,5,29-9091.00,Athletic Trainers
92,2,51-8013.03,Biomass Plant Technicians
92,2,51-8091.00,Chemical Plant and System Operators
92,3,39-4011.00,Embalmers
92,3,33-1011.00,First-Line Supervisors of Correctional Officers
92,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
92,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
92,3,29-2092.00,Hearing Aid Specialists
92,4,27-2012.05,Media Technical Directors/Managers
92,5,29-2091.00,Orthotists and Prosthetists
92,5,29-1221.00,"Pediatricians, General"
