Importance,Level,Job Zone,Code,Occupation
97,84,4,21-1094.00,Community Health Workers
95,95,4,27-3031.00,Public Relations Specialists
94,84,4,41-9031.00,Sales Engineers
94,74,2,43-5031.00,Public Safety Telecommunicators
93,88,4,27-2012.03,Media Programming Directors
93,82,4,13-1131.00,Fundraisers
93,80,4,41-3011.00,Advertising Sales Agents
92,81,4,11-9199.10,Wind Energy Development Managers
91,78,3,33-2021.00,Fire Inspectors and Investigators
90,85,5,19-3051.00,Urban and Regional Planners
90,84,5,11-1011.00,Chief Executives
90,81,4,33-3031.00,Fish and Game Wardens
89,88,5,25-9021.00,Farm and Home Management Educators
89,87,4,11-9161.00,Emergency Management Directors
89,82,4,19-3099.01,Transportation Planners
89,72,2,53-1042.01,Recycling Coordinators
89,70,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
89,65,3,39-6012.00,Concierges
88,68,2,41-2022.00,Parts Salespersons
87,87,5,11-1011.03,Chief Sustainability Officers
87,84,4,27-3023.00,"News Analysts, Reporters, and Journalists"
87,81,4,21-1091.00,Health Education Specialists
87,78,4,13-1121.00,"Meeting, Convention, and Event Planners"
87,68,5,25-1113.00,"Social Work Teachers, Postsecondary"
87,65,4,21-1021.00,"Child, Family, and School Social Workers"
86,80,5,11-9041.00,Architectural and Engineering Managers
86,80,5,19-3032.00,Industrial-Organizational Psychologists
86,77,4,13-2052.00,Personal Financial Advisors
86,77,4,11-3031.01,Treasurers and Controllers
86,75,4,27-3043.00,Writers and Authors
86,72,3,13-1041.04,Government Property Inspectors and Investigators
86,65,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
85,76,4,27-1025.00,Interior Designers
85,76,4,11-9199.01,Regulatory Affairs Managers
84,81,4,11-2011.00,Advertising and Promotions Managers
84,78,3,33-1012.00,First-Line Supervisors of Police and Detectives
84,76,4,17-1012.00,Landscape Architects
84,60,3,13-1041.00,Compliance Officers
84,59,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
83,84,5,19-1041.00,Epidemiologists
83,83,5,19-2041.01,Climate Change Policy Analysts
83,82,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
83,77,3,33-3021.00,Detectives and Criminal Investigators
83,76,3,41-4011.07,Solar Sales Representatives and Assessors
83,74,4,13-1041.07,Regulatory Affairs Specialists
83,72,3,41-9022.00,Real Estate Sales Agents
83,70,4,19-1031.00,Conservation Scientists
83,69,5,29-1181.00,Audiologists
83,69,4,11-3061.00,Purchasing Managers
83,68,5,21-1022.00,Healthcare Social Workers
83,63,4,21-1015.00,Rehabilitation Counselors
82,72,4,27-2012.04,Talent Directors
82,69,3,33-3021.02,Police Identification and Records Officers
82,65,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
82,65,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
82,60,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
82,55,3,49-2098.00,Security and Fire Alarm Systems Installers
82,54,3,13-1032.00,"Insurance Appraisers, Auto Damage"
81,83,4,13-1161.00,Market Research Analysts and Marketing Specialists
81,79,5,19-2041.02,Environmental Restoration Planners
81,78,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
81,78,3,13-1041.06,Coroners
81,78,4,13-1199.05,Sustainability Specialists
81,78,5,19-1023.00,Zoologists and Wildlife Biologists
81,76,5,25-4011.00,Archivists
81,73,5,17-1011.00,"Architects, Except Landscape and Naval"
81,73,2,49-9095.00,Manufactured Building and Mobile Home Installers
81,73,3,33-3051.00,Police and Sheriff's Patrol Officers
81,70,4,17-2021.00,Agricultural Engineers
81,68,3,13-1041.08,Customs Brokers
81,66,4,13-1081.02,Logistics Analysts
81,64,4,11-9199.02,Compliance Managers
81,61,5,15-1221.00,Computer and Information Research Scientists
81,57,3,41-3041.00,Travel Agents
80,81,3,27-1022.00,Fashion Designers
80,80,4,11-2021.00,Marketing Managers
80,76,4,13-1041.03,Equal Opportunity Representatives and Officers
80,76,5,29-1229.05,Preventive Medicine Physicians
80,76,4,11-2022.00,Sales Managers
80,71,3,45-4011.00,Forest and Conservation Workers
80,70,4,17-2051.01,Transportation Engineers
80,68,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
80,68,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
80,64,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
80,59,2,43-2011.00,"Switchboard Operators, Including Answering Service"
80,51,2,43-4051.00,Customer Service Representatives
79,75,5,25-1031.00,"Architecture Teachers, Postsecondary"
79,74,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
79,74,4,13-2061.00,Financial Examiners
79,74,4,15-1299.09,Information Technology Project Managers
79,74,4,19-1031.03,Park Naturalists
79,73,5,19-1029.01,Bioinformatics Scientists
79,72,4,11-9021.00,Construction Managers
79,72,4,33-3021.06,Intelligence Analysts
79,72,4,17-2051.02,Water/Wastewater Engineers
79,70,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
79,70,4,15-1211.01,Health Informatics Specialists
79,69,5,29-9092.00,Genetic Counselors
79,67,5,23-1011.00,Lawyers
79,67,4,11-9081.00,Lodging Managers
79,64,3,43-4061.00,"Eligibility Interviewers, Government Programs"
79,63,3,11-9171.00,Funeral Home Managers
79,62,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
79,60,3,17-3027.00,Mechanical Engineering Technologists and Technicians
78,77,5,19-3022.00,Survey Researchers
78,71,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
78,70,4,13-1081.00,Logisticians
78,69,5,11-9121.00,Natural Sciences Managers
78,67,4,11-9151.00,Social and Community Service Managers
78,66,4,13-1041.01,Environmental Compliance Inspectors
78,66,5,21-1023.00,Mental Health and Substance Abuse Social Workers
78,64,4,17-2171.00,Petroleum Engineers
78,64,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
78,64,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
78,63,4,17-1021.00,Cartographers and Photogrammetrists
78,62,4,13-2072.00,Loan Officers
78,55,2,43-4021.00,Correspondence Clerks
77,79,5,19-1011.00,Animal Scientists
77,76,5,19-1029.04,Biologists
77,72,5,21-2011.00,Clergy
77,72,3,27-4021.00,Photographers
77,70,4,21-2021.00,"Directors, Religious Activities and Education"
77,70,4,19-1031.02,Range Managers
77,67,4,27-1011.00,Art Directors
77,65,2,33-9011.00,Animal Control Workers
77,59,4,13-2053.00,Insurance Underwriters
77,56,2,41-9011.00,Demonstrators and Product Promoters
76,76,5,25-4012.00,Curators
76,74,5,11-3031.03,Investment Fund Managers
76,70,5,29-1229.01,Allergists and Immunologists
76,69,4,17-2051.00,Civil Engineers
76,68,4,13-1051.00,Cost Estimators
76,67,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
76,65,2,39-4021.00,Funeral Attendants
76,62,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
76,58,2,43-3021.00,Billing and Posting Clerks
75,82,5,19-2011.00,Astronomers
75,74,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
75,71,4,17-2111.02,Fire-Prevention and Protection Engineers
75,70,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
75,68,3,33-9021.00,Private Detectives and Investigators
75,67,4,13-2071.00,Credit Counselors
75,65,3,39-7012.00,Travel Guides
75,64,4,11-9199.08,Loss Prevention Managers
75,63,4,27-3041.00,Editors
75,59,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
75,59,3,39-7011.00,Tour Guides and Escorts
75,56,2,43-4151.00,Order Clerks
75,54,3,43-4011.00,Brokerage Clerks
74,74,5,29-1217.00,Neurologists
74,73,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
74,71,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
74,66,2,33-3041.00,Parking Enforcement Workers
74,65,2,43-5011.01,Freight Forwarders
74,64,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
74,62,5,29-1023.00,Orthodontists
74,60,3,33-3011.00,Bailiffs
74,60,4,27-2022.00,Coaches and Scouts
74,46,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
73,81,4,19-2021.00,Atmospheric and Space Scientists
73,79,5,19-3091.00,Anthropologists and Archeologists
73,75,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
73,73,5,19-1013.00,Soil and Plant Scientists
73,70,5,29-9099.01,Midwives
73,68,4,13-1081.01,Logistics Engineers
73,68,4,11-3071.04,Supply Chain Managers
73,68,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
73,67,4,17-2081.00,Environmental Engineers
73,67,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
73,66,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
73,66,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
73,64,2,47-5013.00,"Service Unit Operators, Oil and Gas"
73,62,3,11-3051.02,Geothermal Production Managers
73,62,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
73,58,4,11-1021.00,General and Operations Managers
73,52,2,43-4171.00,Receptionists and Information Clerks
72,72,5,19-2043.00,Hydrologists
72,70,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
72,68,4,27-1024.00,Graphic Designers
72,66,4,17-2072.01,Radio Frequency Identification Device Specialists
72,65,4,17-1022.00,Surveyors
72,64,4,19-1032.00,Foresters
