Importance,Job Zone,Code,Occupation
93,4,27-2032.00,Choreographers
92,3,27-1022.00,Fashion Designers
92,4,15-1255.01,Video Game Designers
91,4,17-2141.00,Mechanical Engineers
91,4,27-3043.05,"Poets, Lyricists and Creative Writers"
91,5,27-1027.00,Set and Exhibit Designers
90,5,25-1122.00,"Communications Teachers, Postsecondary"
90,4,27-3043.00,Writers and Authors
88,5,19-1021.00,Biochemists and Biophysicists
88,4,27-1025.00,Interior Designers
88,4,17-2199.05,Mechatronics Engineers
88,5,19-2012.00,Physicists
87,5,11-1011.03,Chief Sustainability Officers
87,4,27-4032.00,Film and Video Editors
87,4,27-1024.00,Graphic Designers
87,5,19-2032.00,Materials Scientists
87,4,27-2041.00,Music Directors and Composers
86,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
86,4,27-1011.00,Art Directors
86,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
86,4,29-1125.00,Recreational Therapists
86,3,31-9099.01,Speech-Language Pathology Assistants
85,4,27-2012.03,Media Programming Directors
84,5,25-1042.00,"Biological Science Teachers, Postsecondary"
84,4,15-1299.08,Computer Systems Engineers/Architects
84,2,43-9021.00,Data Entry Keyers
84,5,25-1032.00,"Engineering Teachers, Postsecondary"
84,3,11-3051.02,Geothermal Production Managers
84,3,51-4061.00,"Model Makers, Metal and Plastic"
84,5,15-2031.00,Operations Research Analysts
83,5,29-1129.01,Art Therapists
83,5,19-2011.00,Astronomers
83,4,21-1094.00,Community Health Workers
83,4,17-2072.00,"Electronics Engineers, Except Computer"
83,5,17-2141.01,Fuel Cell Engineers
83,5,13-1111.00,Management Analysts
83,4,17-2131.00,Materials Engineers
83,5,17-2199.06,Microsystems Engineers
83,5,17-2199.09,Nanosystems Engineers
82,5,25-2059.01,Adapted Physical Education Specialists
82,5,11-1011.00,Chief Executives
82,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
82,2,47-3013.00,Helpers--Electricians
82,5,15-2021.00,Mathematicians
82,4,29-1129.02,Music Therapists
82,5,29-1024.00,Prosthodontists
81,5,19-1011.00,Animal Scientists
81,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
81,5,19-1029.01,Bioinformatics Scientists
81,5,25-1021.00,"Computer Science Teachers, Postsecondary"
81,3,27-1012.00,Craft Artists
81,3,29-2051.00,Dietetic Technicians
81,5,25-9031.00,Instructional Coordinators
81,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
81,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
80,3,35-1011.00,Chefs and Head Cooks
80,4,17-2041.00,Chemical Engineers
80,5,25-1052.00,"Chemistry Teachers, Postsecondary"
80,5,29-1141.04,Clinical Nurse Specialists
80,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
80,5,25-1125.00,"History Teachers, Postsecondary"
80,5,19-3032.00,Industrial-Organizational Psychologists
80,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
80,4,17-1012.00,Landscape Architects
80,5,25-1065.00,"Political Science Teachers, Postsecondary"
80,4,17-2199.08,Robotics Engineers
80,4,25-2057.00,"Special Education Teachers, Middle School"
79,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
79,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
79,3,39-6012.00,Concierges
79,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
79,3,51-6092.00,Fabric and Apparel Patternmakers
79,3,39-1022.00,First-Line Supervisors of Personal Service Workers
79,4,15-1299.02,Geographic Information Systems Technologists and Technicians
79,4,21-1091.00,Health Education Specialists
79,4,15-1211.01,Health Informatics Specialists
79,4,11-2021.00,Marketing Managers
79,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
79,4,17-2072.01,Radio Frequency Identification Device Specialists
78,2,49-3021.00,Automotive Body and Related Repairers
78,4,17-2031.00,Bioengineers and Biomedical Engineers
78,4,17-2061.00,Computer Hardware Engineers
78,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
78,5,25-1064.00,"Geography Teachers, Postsecondary"
78,2,47-3012.00,Helpers--Carpenters
78,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
78,2,49-9095.00,Manufactured Building and Mobile Home Installers
78,3,51-9195.05,"Potters, Manufacturing"
