Importance,Level,Job Zone,Code,Occupation
91,87,4,11-9021.00,Construction Managers
89,74,2,53-1042.01,Recycling Coordinators
88,79,4,21-2021.00,"Directors, Religious Activities and Education"
87,74,4,27-2012.03,Media Programming Directors
87,69,3,11-9199.09,Wind Energy Operations Managers
86,85,4,15-1299.09,Information Technology Project Managers
86,82,2,49-9095.00,Manufactured Building and Mobile Home Installers
86,81,3,11-3051.02,Geothermal Production Managers
86,79,4,21-1091.00,Health Education Specialists
86,71,4,29-1125.00,Recreational Therapists
86,70,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
84,76,4,13-1121.00,"Meeting, Convention, and Event Planners"
83,68,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
83,68,4,39-9032.00,Recreation Workers
82,73,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
82,71,3,35-1011.00,Chefs and Head Cooks
82,68,4,21-1094.00,Community Health Workers
81,79,5,25-9021.00,Farm and Home Management Educators
81,76,4,27-2032.00,Choreographers
81,75,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
81,74,3,27-1022.00,Fashion Designers
81,72,4,11-3051.04,Biomass Power Plant Managers
80,73,3,11-3012.00,Administrative Services Managers
80,64,1,47-2051.00,Cement Masons and Concrete Finishers
79,72,5,19-1029.04,Biologists
79,68,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
79,66,2,11-9131.00,Postmasters and Mail Superintendents
77,79,4,11-9161.00,Emergency Management Directors
77,71,5,25-1031.00,"Architecture Teachers, Postsecondary"
77,69,5,11-9121.00,Natural Sciences Managers
77,66,3,27-4021.00,Photographers
77,61,3,11-9179.02,Spa Managers
76,78,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
76,76,4,17-1012.00,Landscape Architects
76,73,4,17-2051.00,Civil Engineers
76,70,5,17-1011.00,"Architects, Except Landscape and Naval"
76,70,3,33-1012.00,First-Line Supervisors of Police and Detectives
76,70,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
76,69,3,11-3051.06,Hydroelectric Production Managers
76,67,4,27-2041.00,Music Directors and Composers
76,67,4,17-1022.00,Surveyors
76,64,5,29-1021.00,"Dentists, General"
76,56,4,27-2022.00,Coaches and Scouts
75,78,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
75,75,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
75,73,5,11-9111.00,Medical and Health Services Managers
75,70,4,27-1011.00,Art Directors
75,69,5,19-3022.00,Survey Researchers
75,65,2,51-5112.00,Printing Press Operators
75,64,3,45-4011.00,Forest and Conservation Workers
75,62,3,31-9091.00,Dental Assistants
75,62,4,11-9179.01,Fitness and Wellness Coordinators
75,62,3,15-1241.01,Telecommunications Engineering Specialists
75,60,4,11-9121.01,Clinical Research Coordinators
75,55,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
75,52,2,49-9094.00,Locksmiths and Safe Repairers
74,71,3,11-9071.00,Gambling Managers
74,70,5,19-2041.02,Environmental Restoration Planners
74,70,4,11-3131.00,Training and Development Managers
74,68,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
74,65,4,11-9081.00,Lodging Managers
74,65,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
74,64,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
74,64,3,33-1011.00,First-Line Supervisors of Correctional Officers
74,62,4,21-1015.00,Rehabilitation Counselors
74,61,4,11-1021.00,General and Operations Managers
74,60,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
74,59,5,29-1024.00,Prosthodontists
74,59,3,41-9022.00,Real Estate Sales Agents
74,57,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
73,71,5,25-1032.00,"Engineering Teachers, Postsecondary"
73,71,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
73,71,5,25-9031.00,Instructional Coordinators
73,70,4,17-2051.01,Transportation Engineers
73,69,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
73,69,4,25-2058.00,"Special Education Teachers, Secondary School"
73,68,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
73,67,4,11-9199.10,Wind Energy Development Managers
73,65,5,29-1217.00,Neurologists
73,64,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
73,62,5,29-1181.00,Audiologists
73,57,3,27-4011.00,Audio and Video Technicians
73,57,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
73,48,2,43-6013.00,Medical Secretaries and Administrative Assistants
72,71,2,47-2021.00,Brickmasons and Blockmasons
72,71,4,17-2051.02,Water/Wastewater Engineers
72,70,5,25-1113.00,"Social Work Teachers, Postsecondary"
72,69,5,25-1042.00,"Biological Science Teachers, Postsecondary"
72,67,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
72,64,3,53-6051.01,Aviation Inspectors
72,64,3,19-4071.00,Forest and Conservation Technicians
72,64,5,21-1023.00,Mental Health and Substance Abuse Social Workers
72,63,4,11-9151.00,Social and Community Service Managers
72,54,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
71,76,5,13-1111.00,Management Analysts
71,70,4,13-1199.04,Business Continuity Planners
71,70,5,19-1023.00,Zoologists and Wildlife Biologists
71,68,4,13-1081.00,Logisticians
71,66,4,33-3031.00,Fish and Game Wardens
71,66,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
71,65,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
71,62,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
71,62,4,19-1032.00,Foresters
71,60,3,43-5061.00,"Production, Planning, and Expediting Clerks"
70,71,4,17-2141.02,Automotive Engineers
70,71,4,27-3031.00,Public Relations Specialists
70,69,5,19-1013.00,Soil and Plant Scientists
70,66,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
70,66,5,29-9099.01,Midwives
70,65,5,29-1241.00,"Ophthalmologists, Except Pediatric"
70,64,5,29-1229.01,Allergists and Immunologists
70,62,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
70,62,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
70,59,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
70,58,3,33-2021.00,Fire Inspectors and Investigators
70,56,4,17-1021.00,Cartographers and Photogrammetrists
70,54,2,53-1041.00,Aircraft Cargo Handling Supervisors
70,49,3,33-9021.00,Private Detectives and Investigators
69,73,4,11-9121.02,Water Resource Specialists
69,70,4,11-2022.00,Sales Managers
69,69,4,15-1211.01,Health Informatics Specialists
69,68,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
69,67,4,11-9199.02,Compliance Managers
69,59,3,39-6012.00,Concierges
69,58,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
69,58,4,17-2171.00,Petroleum Engineers
69,56,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
69,55,5,29-1216.00,General Internal Medicine Physicians
69,54,3,31-2012.00,Occupational Therapy Aides
69,54,2,47-4099.03,Weatherization Installers and Technicians
69,52,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
68,71,5,19-3051.00,Urban and Regional Planners
68,69,4,17-2199.08,Robotics Engineers
68,68,4,27-1025.00,Interior Designers
68,65,4,11-3021.00,Computer and Information Systems Managers
68,65,3,47-1011.03,Solar Energy Installation Managers
68,63,5,25-1054.00,"Physics Teachers, Postsecondary"
68,61,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
68,60,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
68,60,3,31-9097.00,Phlebotomists
68,59,4,19-1031.02,Range Managers
68,59,3,31-9099.01,Speech-Language Pathology Assistants
68,58,5,29-1129.01,Art Therapists
68,58,2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
68,58,4,27-2012.04,Talent Directors
68,56,5,29-1041.00,Optometrists
68,51,3,39-9041.00,Residential Advisors
68,50,2,53-7051.00,Industrial Truck and Tractor Operators
67,68,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
67,66,4,17-2021.00,Agricultural Engineers
67,66,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
67,65,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
67,64,5,25-1067.00,"Sociology Teachers, Postsecondary"
67,64,4,25-2057.00,"Special Education Teachers, Middle School"
67,62,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
67,60,4,19-1031.00,Conservation Scientists
67,59,5,29-1011.00,Chiropractors
67,59,4,13-1131.00,Fundraisers
67,59,4,13-1071.00,Human Resources Specialists
67,58,4,25-2021.00,"Elementary School Teachers, Except Special Education"
67,57,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
67,57,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
67,54,2,51-9081.00,Dental Laboratory Technicians
67,51,5,29-1123.00,Physical Therapists
66,70,5,11-1011.03,Chief Sustainability Officers
66,70,5,25-1066.00,"Psychology Teachers, Postsecondary"
66,68,4,13-1151.00,Training and Development Specialists
66,66,4,17-2111.02,Fire-Prevention and Protection Engineers
66,65,4,15-2051.02,Clinical Data Managers
66,65,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
66,64,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
66,63,5,11-9033.00,"Education Administrators, Postsecondary"
66,62,5,25-4012.00,Curators
66,61,5,29-1229.02,Hospitalists
66,61,2,49-9044.00,Millwrights
66,58,4,41-9031.00,Sales Engineers
66,56,3,29-2053.00,Psychiatric Technicians
66,53,3,49-3052.00,Motorcycle Mechanics
66,50,3,49-9063.00,Musical Instrument Repairers and Tuners
66,49,4,53-6051.00,Transportation Inspectors
66,47,3,29-2051.00,Dietetic Technicians
65,69,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
65,68,4,13-1199.05,Sustainability Specialists
65,67,3,11-9171.00,Funeral Home Managers
65,63,4,17-1022.01,Geodetic Surveyors
65,63,5,29-1161.00,Nurse Midwives
65,61,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
