Importance,Level,Job Zone,Code,Occupation
84,73,5,19-2041.03,Industrial Ecologists
83,80,5,19-1021.00,Biochemists and Biophysicists
83,77,5,19-2011.00,Astronomers
83,74,4,17-1022.01,Geodetic Surveyors
82,62,4,13-1051.00,Cost Estimators
81,76,5,13-2099.01,Financial Quantitative Analysts
80,67,5,15-1221.00,Computer and Information Research Scientists
79,67,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
78,71,5,17-2199.09,Nanosystems Engineers
78,62,3,47-1011.03,Solar Energy Installation Managers
78,54,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
77,58,5,11-9041.00,Architectural and Engineering Managers
76,73,4,17-2061.00,Computer Hardware Engineers
76,67,4,15-1299.09,Information Technology Project Managers
76,65,5,19-1029.04,Biologists
76,65,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
76,57,2,53-5011.00,Sailors and Marine Oilers
76,55,3,17-3027.00,Mechanical Engineering Technologists and Technicians
75,69,4,17-2031.00,Bioengineers and Biomedical Engineers
75,44,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
74,71,4,17-2041.00,Chemical Engineers
74,66,5,19-1013.00,Soil and Plant Scientists
74,64,4,41-9031.00,Sales Engineers
74,63,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
74,59,4,11-9021.00,Construction Managers
74,59,4,53-6051.00,Transportation Inspectors
74,57,2,45-4023.00,Log Graders and Scalers
74,54,3,49-9064.00,Watch and Clock Repairers
73,75,5,19-3092.00,Geographers
73,69,4,15-2011.00,Actuaries
73,61,4,13-1081.01,Logistics Engineers
73,60,5,29-1211.00,Anesthesiologists
73,59,4,11-9199.10,Wind Energy Development Managers
73,52,3,11-9199.09,Wind Energy Operations Managers
73,50,3,47-2011.00,Boilermakers
73,46,2,51-6042.00,Shoe Machine Operators and Tenders
73,45,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
72,69,5,19-2032.00,Materials Scientists
72,67,4,17-2131.00,Materials Engineers
72,66,4,17-2141.02,Automotive Engineers
72,66,2,47-5081.00,Helpers--Extraction Workers
72,60,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
72,59,4,15-1251.00,Computer Programmers
72,45,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
72,41,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
71,73,5,19-2012.00,Physicists
71,71,2,31-9095.00,Pharmacy Aides
71,66,3,27-1022.00,Fashion Designers
71,66,5,15-2031.00,Operations Research Analysts
71,66,5,19-1023.00,Zoologists and Wildlife Biologists
71,65,5,13-1111.00,Management Analysts
71,60,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
71,60,4,17-2112.02,Validation Engineers
71,58,5,29-1022.00,Oral and Maxillofacial Surgeons
71,58,4,17-2051.01,Transportation Engineers
71,58,4,19-3099.01,Transportation Planners
71,57,4,19-1032.00,Foresters
71,52,3,51-8013.04,Hydroelectric Plant Technicians
71,51,3,19-4012.00,Agricultural Technicians
71,44,2,51-7011.00,Cabinetmakers and Bench Carpenters
71,44,2,51-3093.00,Food Cooking Machine Operators and Tenders
70,65,5,25-1042.00,"Biological Science Teachers, Postsecondary"
70,65,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
70,64,2,31-9093.00,Medical Equipment Preparers
70,63,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
70,60,1,45-4022.00,Logging Equipment Operators
70,60,5,29-1151.00,Nurse Anesthetists
70,59,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
70,58,5,19-1011.00,Animal Scientists
70,53,4,17-1021.00,Cartographers and Photogrammetrists
70,52,4,27-1025.00,Interior Designers
70,50,3,47-2022.00,Stonemasons
70,48,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
69,67,4,17-2081.00,Environmental Engineers
69,65,5,11-3031.03,Investment Fund Managers
69,62,4,17-2171.00,Petroleum Engineers
69,61,4,15-1299.02,Geographic Information Systems Technologists and Technicians
69,60,5,19-2099.01,Remote Sensing Scientists and Technologists
69,58,3,51-7031.00,"Model Makers, Wood"
69,51,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
69,51,3,13-1032.00,"Insurance Appraisers, Auto Damage"
69,49,3,51-9071.06,Gem and Diamond Workers
69,48,2,53-4011.00,Locomotive Engineers
69,46,2,51-6051.00,"Sewers, Hand"
