Importance,Level,Job Zone,Code,Occupation
97,88,5,25-1066.00,"Psychology Teachers, Postsecondary"
95,82,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
94,87,5,29-9092.00,Genetic Counselors
93,82,4,27-3091.00,Interpreters and Translators
93,77,4,13-1161.00,Market Research Analysts and Marketing Specialists
92,78,5,25-1082.00,"Library Science Teachers, Postsecondary"
91,79,5,25-1064.00,"Geography Teachers, Postsecondary"
90,81,5,29-1217.00,Neurologists
90,81,5,25-1067.00,"Sociology Teachers, Postsecondary"
90,79,5,19-3091.00,Anthropologists and Archeologists
89,84,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
89,82,5,19-3041.00,Sociologists
89,75,5,29-1229.02,Hospitalists
89,71,4,19-1031.03,Park Naturalists
88,83,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
88,82,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
88,81,5,19-1021.00,Biochemists and Biophysicists
88,80,5,19-1041.00,Epidemiologists
88,78,4,21-1091.00,Health Education Specialists
88,76,4,33-3021.06,Intelligence Analysts
88,73,5,25-1113.00,"Social Work Teachers, Postsecondary"
88,70,5,13-1111.00,Management Analysts
87,80,5,25-1112.00,"Law Teachers, Postsecondary"
87,72,5,19-3022.00,Survey Researchers
87,69,5,29-1071.00,Physician Assistants
87,47,5,29-1215.00,Family Medicine Physicians
86,86,5,15-2041.00,Statisticians
86,82,5,25-1054.00,"Physics Teachers, Postsecondary"
86,80,5,25-1042.00,"Biological Science Teachers, Postsecondary"
86,71,5,11-1011.03,Chief Sustainability Officers
86,67,5,19-3093.00,Historians
86,66,3,17-3027.00,Mechanical Engineering Technologists and Technicians
86,64,5,29-1041.00,Optometrists
85,79,5,19-1011.00,Animal Scientists
85,72,5,29-1229.05,Preventive Medicine Physicians
85,69,4,19-5011.00,Occupational Health and Safety Specialists
85,65,5,29-1221.00,"Pediatricians, General"
85,64,5,29-1181.00,Audiologists
85,61,5,23-1011.00,Lawyers
85,56,4,21-1094.00,Community Health Workers
84,81,5,25-1125.00,"History Teachers, Postsecondary"
84,77,4,19-2021.00,Atmospheric and Space Scientists
84,71,5,29-1229.01,Allergists and Immunologists
84,63,4,27-3023.00,"News Analysts, Reporters, and Journalists"
83,75,5,29-1224.00,Radiologists
83,73,5,19-3032.00,Industrial-Organizational Psychologists
83,73,4,11-9199.01,Regulatory Affairs Managers
83,69,5,19-1029.04,Biologists
83,69,4,15-1299.09,Information Technology Project Managers
83,69,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
83,68,5,19-3033.00,Clinical and Counseling Psychologists
83,63,4,13-1151.00,Training and Development Specialists
82,79,5,19-3094.00,Political Scientists
82,75,5,15-1221.00,Computer and Information Research Scientists
82,70,5,29-1216.00,General Internal Medicine Physicians
82,70,5,29-1299.01,Naturopathic Physicians
82,69,5,19-2041.01,Climate Change Policy Analysts
82,67,4,15-2051.01,Business Intelligence Analysts
82,66,5,19-3051.00,Urban and Regional Planners
82,59,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
82,54,3,25-3021.00,Self-Enrichment Teachers
81,75,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
81,74,4,15-2011.00,Actuaries
81,70,5,29-1171.00,Nurse Practitioners
81,67,5,29-1141.04,Clinical Nurse Specialists
81,67,5,11-9121.00,Natural Sciences Managers
81,63,4,11-3121.00,Human Resources Managers
81,57,4,13-1161.01,Search Marketing Strategists
81,52,4,29-1128.00,Exercise Physiologists
80,83,5,19-1029.01,Bioinformatics Scientists
80,79,5,19-2043.00,Hydrologists
80,78,5,19-3011.01,Environmental Economists
80,76,2,49-9095.00,Manufactured Building and Mobile Home Installers
80,70,5,29-1241.00,"Ophthalmologists, Except Pediatric"
80,68,5,19-1023.00,Zoologists and Wildlife Biologists
80,67,5,29-1141.02,Advanced Practice Psychiatric Nurses
80,67,4,13-1041.07,Regulatory Affairs Specialists
80,63,4,29-1141.03,Critical Care Nurses
80,58,4,11-9161.00,Emergency Management Directors
79,79,5,25-1063.00,"Economics Teachers, Postsecondary"
79,77,5,15-2031.00,Operations Research Analysts
79,74,5,19-3092.00,Geographers
79,73,5,15-2041.01,Biostatisticians
79,73,4,15-1299.08,Computer Systems Engineers/Architects
79,69,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
79,67,4,15-1211.01,Health Informatics Specialists
79,66,5,19-1022.00,Microbiologists
79,61,4,11-3131.00,Training and Development Managers
79,57,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
79,55,5,29-1031.00,Dietitians and Nutritionists
79,52,5,29-1213.00,Dermatologists
78,74,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
78,68,4,17-2112.02,Validation Engineers
78,67,3,53-6051.01,Aviation Inspectors
78,67,5,29-1161.00,Nurse Midwives
78,66,5,11-9111.00,Medical and Health Services Managers
78,66,3,19-5012.00,Occupational Health and Safety Technicians
78,64,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
78,51,5,25-4022.00,Librarians and Media Collections Specialists
78,47,4,29-1141.00,Registered Nurses
77,78,5,25-1052.00,"Chemistry Teachers, Postsecondary"
77,69,5,19-2041.02,Environmental Restoration Planners
77,69,5,19-2041.03,Industrial Ecologists
77,68,4,13-1041.03,Equal Opportunity Representatives and Officers
77,67,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
77,66,5,25-1011.00,"Business Teachers, Postsecondary"
77,65,5,11-1011.00,Chief Executives
77,63,5,25-1031.00,"Architecture Teachers, Postsecondary"
77,63,4,13-2052.00,Personal Financial Advisors
77,63,4,25-3041.00,Tutors
77,61,4,43-9111.00,Statistical Assistants
77,58,5,29-1299.02,Orthoptists
77,57,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
76,84,5,19-2011.00,Astronomers
76,76,4,15-2099.01,Bioinformatics Technicians
76,74,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
76,73,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
76,72,4,17-2011.00,Aerospace Engineers
76,72,5,19-1013.00,Soil and Plant Scientists
76,68,4,27-3042.00,Technical Writers
76,65,5,29-1222.00,"Physicians, Pathologists"
76,63,4,19-3099.01,Transportation Planners
76,62,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
76,59,5,29-1218.00,Obstetricians and Gynecologists
76,58,4,13-1075.00,Labor Relations Specialists
76,56,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
76,55,5,29-1131.00,Veterinarians
75,77,5,19-1029.03,Geneticists
75,70,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
75,66,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
75,65,4,25-2057.00,"Special Education Teachers, Middle School"
75,64,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
75,62,5,29-1129.01,Art Therapists
75,62,4,11-9199.02,Compliance Managers
75,61,4,13-1081.01,Logistics Engineers
75,60,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
75,60,4,13-1081.02,Logistics Analysts
75,60,5,29-1122.00,Occupational Therapists
75,58,4,27-3031.00,Public Relations Specialists
75,58,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
75,57,3,29-2099.08,Patient Representatives
75,53,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
75,53,5,29-1022.00,Oral and Maxillofacial Surgeons
75,51,4,19-1031.00,Conservation Scientists
75,47,3,29-1292.00,Dental Hygienists
74,78,5,19-3011.00,Economists
74,78,5,15-2021.00,Mathematicians
74,74,5,19-2032.00,Materials Scientists
74,69,4,19-2031.00,Chemists
74,68,4,11-3031.01,Treasurers and Controllers
74,63,4,15-1299.02,Geographic Information Systems Technologists and Technicians
74,60,5,25-1122.00,"Communications Teachers, Postsecondary"
74,60,5,25-9021.00,Farm and Home Management Educators
74,60,2,47-5081.00,Helpers--Extraction Workers
74,59,5,21-2011.00,Clergy
74,56,3,33-1012.00,First-Line Supervisors of Police and Detectives
74,54,5,21-1023.00,Mental Health and Substance Abuse Social Workers
74,52,3,19-4013.00,Food Science Technicians
74,43,3,29-2056.00,Veterinary Technologists and Technicians
73,75,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
73,74,4,17-2031.00,Bioengineers and Biomedical Engineers
73,69,4,15-1241.00,Computer Network Architects
73,69,5,13-2099.01,Financial Quantitative Analysts
73,67,5,25-1021.00,"Computer Science Teachers, Postsecondary"
73,65,4,17-2199.10,Wind Energy Engineers
73,64,3,33-3051.04,Customs and Border Protection Officers
73,63,5,11-9033.00,"Education Administrators, Postsecondary"
73,62,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
73,61,5,29-1223.00,Psychiatrists
73,61,4,19-4061.00,Social Science Research Assistants
