Importance,Level,Job Zone,Code,Occupation
96,90,5,13-2099.01,Financial Quantitative Analysts
95,90,5,25-1067.00,"Sociology Teachers, Postsecondary"
94,93,4,15-2099.01,Bioinformatics Technicians
94,88,4,33-3021.06,Intelligence Analysts
93,92,5,19-1021.00,Biochemists and Biophysicists
93,87,4,17-2041.00,Chemical Engineers
93,84,5,29-1229.02,Hospitalists
92,91,5,19-1041.00,Epidemiologists
92,87,4,15-2011.00,Actuaries
92,85,5,29-1224.00,Radiologists
92,83,4,19-4061.00,Social Science Research Assistants
91,91,5,15-2021.00,Mathematicians
91,84,4,13-1161.00,Market Research Analysts and Marketing Specialists
90,89,5,19-3011.00,Economists
90,87,5,19-3091.00,Anthropologists and Archeologists
90,86,4,15-1299.08,Computer Systems Engineers/Architects
90,83,5,19-3022.00,Survey Researchers
90,82,5,29-1222.00,"Physicians, Pathologists"
90,81,4,15-1251.00,Computer Programmers
90,80,4,19-4021.00,Biological Technicians
90,79,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
89,91,4,17-2011.00,Aerospace Engineers
89,87,5,15-2031.00,Operations Research Analysts
89,85,5,25-1042.00,"Biological Science Teachers, Postsecondary"
89,85,5,29-1217.00,Neurologists
89,84,5,19-2099.01,Remote Sensing Scientists and Technologists
89,81,5,29-1051.00,Pharmacists
89,80,5,29-1041.00,Optometrists
88,89,5,19-2011.00,Astronomers
88,87,5,19-1029.01,Bioinformatics Scientists
88,87,4,17-1022.01,Geodetic Surveyors
88,81,4,15-2051.02,Clinical Data Managers
88,81,4,15-1299.02,Geographic Information Systems Technologists and Technicians
88,80,5,25-1064.00,"Geography Teachers, Postsecondary"
88,76,3,29-2012.00,Medical and Clinical Laboratory Technicians
88,71,2,43-9021.00,Data Entry Keyers
87,81,4,15-1243.01,Data Warehousing Specialists
87,80,2,31-9093.00,Medical Equipment Preparers
87,77,3,17-3027.00,Mechanical Engineering Technologists and Technicians
87,77,3,31-9092.00,Medical Assistants
87,73,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
87,72,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
87,70,4,13-1161.01,Search Marketing Strategists
86,87,5,19-3011.01,Environmental Economists
86,86,5,19-1029.03,Geneticists
86,84,5,19-1029.04,Biologists
86,84,5,19-2032.00,Materials Scientists
86,83,5,29-1241.00,"Ophthalmologists, Except Pediatric"
86,82,5,11-3031.03,Investment Fund Managers
86,81,4,19-2021.00,Atmospheric and Space Scientists
86,77,5,11-9111.00,Medical and Health Services Managers
86,75,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
86,75,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
86,72,4,15-1242.00,Database Administrators
86,71,2,43-3051.00,Payroll and Timekeeping Clerks
