Importance,Job Zone,Code,Occupation
100,5,15-2031.00,Operations Research Analysts
99,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
99,4,13-1161.00,Market Research Analysts and Marketing Specialists
99,5,15-2021.00,Mathematicians
99,5,19-3041.00,Sociologists
98,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
98,5,19-2011.00,Astronomers
98,5,19-1021.00,Biochemists and Biophysicists
98,4,15-1243.01,Data Warehousing Specialists
98,5,13-2099.01,Financial Quantitative Analysts
98,5,29-1229.03,Urologists
97,4,17-2041.00,Chemical Engineers
97,4,13-2041.00,Credit Analysts
97,4,15-1243.00,Database Architects
97,5,25-1032.00,"Engineering Teachers, Postsecondary"
97,5,19-3011.01,Environmental Economists
97,5,29-1215.00,Family Medicine Physicians
97,4,33-3021.06,Intelligence Analysts
97,5,19-3094.00,Political Scientists
96,5,19-1029.01,Bioinformatics Scientists
95,4,15-2011.00,Actuaries
95,4,15-2051.01,Business Intelligence Analysts
95,5,25-1011.00,"Business Teachers, Postsecondary"
95,5,25-1052.00,"Chemistry Teachers, Postsecondary"
95,5,11-3031.03,Investment Fund Managers
95,5,13-1111.00,Management Analysts
95,4,17-2141.00,Mechanical Engineers
95,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
94,5,11-9041.00,Architectural and Engineering Managers
94,5,15-2041.01,Biostatisticians
94,5,19-2041.01,Climate Change Policy Analysts
94,4,15-1251.00,Computer Programmers
94,5,25-1081.00,"Education Teachers, Postsecondary"
94,5,19-2041.03,Industrial Ecologists
94,5,19-3032.00,Industrial-Organizational Psychologists
94,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
94,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
94,4,13-1161.01,Search Marketing Strategists
93,4,15-1211.00,Computer Systems Analysts
93,4,13-1051.00,Cost Estimators
93,5,25-1063.00,"Economics Teachers, Postsecondary"
93,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
93,5,19-1041.00,Epidemiologists
93,4,13-2061.00,Financial Examiners
93,5,19-1029.03,Geneticists
93,5,23-1012.00,Judicial Law Clerks
93,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
