Importance,Level,Job Zone,Code,Occupation
88,86,5,19-3051.00,Urban and Regional Planners
88,81,5,11-1011.00,Chief Executives
88,79,5,11-1011.03,Chief Sustainability Officers
86,69,4,27-2012.03,Media Programming Directors
86,63,4,13-1161.01,Search Marketing Strategists
85,74,4,11-9161.00,Emergency Management Directors
85,69,4,13-1131.00,Fundraisers
85,64,5,29-1127.00,Speech-Language Pathologists
84,74,4,13-1199.05,Sustainability Specialists
84,68,4,21-1094.00,Community Health Workers
84,64,4,13-1199.04,Business Continuity Planners
84,63,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
83,76,5,19-1021.00,Biochemists and Biophysicists
83,70,4,27-3031.00,Public Relations Specialists
83,69,4,15-1299.09,Information Technology Project Managers
83,65,5,11-9121.00,Natural Sciences Managers
82,79,5,13-1111.00,Management Analysts
82,68,5,29-1122.00,Occupational Therapists
82,58,4,29-1129.02,Music Therapists
81,72,4,19-1031.02,Range Managers
81,62,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
80,76,4,11-3031.01,Treasurers and Controllers
80,68,4,11-9199.01,Regulatory Affairs Managers
79,75,5,25-1042.00,"Biological Science Teachers, Postsecondary"
79,68,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
79,67,5,25-1031.00,"Architecture Teachers, Postsecondary"
79,67,5,25-9031.00,Instructional Coordinators
79,66,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
79,65,4,11-3121.00,Human Resources Managers
79,65,5,21-1023.00,Mental Health and Substance Abuse Social Workers
79,65,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
78,73,4,19-3099.01,Transportation Planners
78,68,5,19-2041.01,Climate Change Policy Analysts
78,67,5,11-9033.00,"Education Administrators, Postsecondary"
78,67,4,13-1161.00,Market Research Analysts and Marketing Specialists
78,66,4,17-2171.00,Petroleum Engineers
77,73,3,27-1022.00,Fashion Designers
77,72,4,21-1091.00,Health Education Specialists
77,70,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
77,68,4,11-2022.00,Sales Managers
77,62,4,25-2057.00,"Special Education Teachers, Middle School"
77,62,4,13-1151.00,Training and Development Specialists
77,61,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
77,60,4,11-2021.00,Marketing Managers
77,55,4,25-2021.00,"Elementary School Teachers, Except Special Education"
76,73,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
76,70,5,25-1082.00,"Library Science Teachers, Postsecondary"
76,69,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
76,65,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
76,64,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
76,62,5,25-1113.00,"Social Work Teachers, Postsecondary"
76,61,5,25-2059.01,Adapted Physical Education Specialists
