Importance,Level,Job Zone,Code,Occupation
93,88,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
93,84,5,19-2032.00,Materials Scientists
92,79,3,19-4051.00,Nuclear Technicians
92,79,3,51-8021.00,Stationary Engineers and Boiler Operators
91,87,2,31-9093.00,Medical Equipment Preparers
91,77,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
90,84,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
90,78,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
90,75,5,11-9121.00,Natural Sciences Managers
90,73,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
90,64,2,53-5011.00,Sailors and Marine Oilers
89,70,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
89,66,2,51-8091.00,Chemical Plant and System Operators
89,65,3,11-9179.02,Spa Managers
88,88,5,29-1217.00,Neurologists
88,83,3,29-9093.00,Surgical Assistants
88,80,3,51-8011.00,Nuclear Power Reactor Operators
88,69,2,51-8099.01,Biofuels Processing Technicians
87,93,5,29-1151.00,Nurse Anesthetists
87,68,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
86,88,5,29-1141.04,Clinical Nurse Specialists
86,88,5,29-1229.06,Sports Medicine Physicians
86,79,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
86,74,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
86,69,3,51-8013.04,Hydroelectric Plant Technicians
86,67,2,51-9011.00,Chemical Equipment Operators and Tenders
86,58,3,19-4013.00,Food Science Technicians
86,57,2,51-3092.00,Food Batchmakers
85,85,5,29-1211.00,Anesthesiologists
85,81,5,29-1071.01,Anesthesiologist Assistants
85,77,3,33-3011.00,Bailiffs
85,71,3,11-9199.09,Wind Energy Operations Managers
85,66,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
85,57,2,47-2061.00,Construction Laborers
84,84,5,19-1021.00,Biochemists and Biophysicists
84,81,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
84,78,2,47-5043.00,"Roof Bolters, Mining"
84,74,3,19-4051.02,Nuclear Monitoring Technicians
84,73,3,51-8012.00,Power Distributors and Dispatchers
84,72,4,11-3051.01,Quality Control Systems Managers
84,70,4,11-3051.03,Biofuels Production Managers
84,70,4,11-3051.04,Biomass Power Plant Managers
84,63,3,49-3052.00,Motorcycle Mechanics
84,61,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
83,84,5,29-1161.00,Nurse Midwives
83,80,5,17-2199.09,Nanosystems Engineers
83,79,5,19-1029.04,Biologists
83,75,3,49-3011.00,Aircraft Mechanics and Service Technicians
83,74,2,47-5013.00,"Service Unit Operators, Oil and Gas"
83,69,2,33-9032.00,Security Guards
83,67,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
83,63,3,19-4031.00,Chemical Technicians
83,58,1,47-2043.00,Floor Sanders and Finishers
82,86,5,29-1229.02,Hospitalists
82,86,3,29-2053.00,Psychiatric Technicians
82,80,4,29-1141.03,Critical Care Nurses
82,80,5,29-1218.00,Obstetricians and Gynecologists
82,77,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
82,74,4,19-5011.00,Occupational Health and Safety Specialists
82,71,4,19-1031.02,Range Managers
82,66,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
82,64,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
81,83,3,29-2056.00,Veterinary Technologists and Technicians
81,82,3,53-2021.00,Air Traffic Controllers
81,79,4,17-2131.00,Materials Engineers
81,77,3,33-2011.00,Firefighters
81,75,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
81,71,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
81,71,3,29-2012.00,Medical and Clinical Laboratory Technicians
81,67,2,51-8013.03,Biomass Plant Technicians
81,64,2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
81,58,3,29-2051.00,Dietetic Technicians
80,79,3,29-2099.01,Neurodiagnostic Technologists
80,78,4,17-2112.02,Validation Engineers
80,77,4,17-2041.00,Chemical Engineers
80,76,3,11-3051.02,Geothermal Production Managers
80,74,3,19-5012.00,Occupational Health and Safety Technicians
80,74,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
80,73,3,53-2022.00,Airfield Operations Specialists
80,73,3,33-1011.00,First-Line Supervisors of Correctional Officers
80,73,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
80,72,3,33-1012.00,First-Line Supervisors of Police and Detectives
80,70,2,51-8013.00,Power Plant Operators
80,69,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
80,69,4,11-3051.00,Industrial Production Managers
80,66,2,47-5081.00,Helpers--Extraction Workers
80,65,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
80,63,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
80,63,2,51-2092.00,Team Assemblers
80,62,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
80,62,2,51-5113.00,Print Binding and Finishing Workers
80,61,2,53-7064.00,"Packers and Packagers, Hand"
80,59,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
80,56,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
79,80,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
79,80,4,29-1141.00,Registered Nurses
79,78,3,29-1124.00,Radiation Therapists
79,75,3,33-3051.00,Police and Sheriff's Patrol Officers
79,74,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
79,72,5,19-2041.02,Environmental Restoration Planners
79,72,4,19-1012.00,Food Scientists and Technologists
79,69,2,53-4011.00,Locomotive Engineers
79,69,3,17-3024.01,Robotics Technicians
79,68,3,19-4012.00,Agricultural Technicians
79,66,2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
79,65,3,51-6092.00,Fabric and Apparel Patternmakers
79,65,2,51-4052.00,"Pourers and Casters, Metal"
79,62,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
79,61,1,53-7011.00,Conveyor Operators and Tenders
79,61,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
79,58,2,51-3093.00,Food Cooking Machine Operators and Tenders
79,57,2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
79,57,3,19-4099.01,Quality Control Analysts
79,47,5,19-3034.00,School Psychologists
78,82,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
78,76,3,53-6051.01,Aviation Inspectors
78,76,4,33-3031.00,Fish and Game Wardens
78,76,5,29-1041.00,Optometrists
78,74,4,11-9121.01,Clinical Research Coordinators
78,73,4,15-1299.09,Information Technology Project Managers
78,71,3,49-9064.00,Watch and Clock Repairers
78,70,5,29-1021.00,"Dentists, General"
78,68,4,19-2031.00,Chemists
78,68,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
78,68,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
78,67,3,49-9041.00,Industrial Machinery Mechanics
78,67,4,27-2012.05,Media Technical Directors/Managers
78,67,2,47-2072.00,Pile Driver Operators
78,67,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
78,66,3,13-1041.04,Government Property Inspectors and Investigators
78,65,4,39-9032.00,Recreation Workers
78,64,2,53-7073.00,Wellhead Pumpers
78,60,2,47-2231.00,Solar Photovoltaic Installers
78,58,2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
78,41,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
77,82,5,29-1241.00,"Ophthalmologists, Except Pediatric"
77,79,5,29-1216.00,General Internal Medicine Physicians
77,77,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
77,75,5,13-1111.00,Management Analysts
77,73,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
77,73,2,33-9099.02,Retail Loss Prevention Specialists
77,72,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
77,72,3,29-2055.00,Surgical Technologists
77,71,3,11-3051.06,Hydroelectric Production Managers
77,70,3,47-2011.00,Boilermakers
77,69,4,17-2081.00,Environmental Engineers
77,68,2,53-7041.00,Hoist and Winch Operators
77,67,4,17-2112.03,Manufacturing Engineers
77,65,3,17-3029.08,Photonics Technicians
77,64,2,51-2023.00,Electromechanical Equipment Assemblers
77,63,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
77,62,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
77,62,4,11-1021.00,General and Operations Managers
77,62,3,43-5061.00,"Production, Planning, and Expediting Clerks"
77,62,2,47-2181.00,Roofers
77,59,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
76,80,3,29-1141.01,Acute Care Nurses
76,80,5,29-1224.00,Radiologists
76,80,3,29-1126.00,Respiratory Therapists
76,77,5,29-1229.01,Allergists and Immunologists
76,76,5,29-1071.00,Physician Assistants
76,75,3,33-3051.04,Customs and Border Protection Officers
76,73,4,53-6051.00,Transportation Inspectors
76,72,4,17-2011.00,Aerospace Engineers
76,71,3,53-2012.00,Commercial Pilots
76,70,3,31-9091.00,Dental Assistants
76,69,3,27-4014.00,Sound Engineering Technicians
76,68,2,47-2021.00,Brickmasons and Blockmasons
76,68,5,19-1023.00,Zoologists and Wildlife Biologists
76,67,2,17-3029.01,Non-Destructive Testing Specialists
76,66,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
76,66,3,39-9041.00,Residential Advisors
76,63,4,11-3031.00,Financial Managers
76,63,2,53-2031.00,Flight Attendants
76,61,2,51-9197.00,Tire Builders
