Importance,Level,Job Zone,Code,Occupation
99,93,4,15-1255.01,Video Game Designers
99,91,4,27-2032.00,Choreographers
99,79,4,29-1129.02,Music Therapists
98,92,4,27-3043.05,"Poets, Lyricists and Creative Writers"
98,82,4,27-1011.00,Art Directors
97,89,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
97,79,4,27-1025.00,Interior Designers
96,92,3,27-1022.00,Fashion Designers
96,85,5,29-1129.01,Art Therapists
96,79,4,27-1014.00,Special Effects Artists and Animators
95,88,5,27-1027.00,Set and Exhibit Designers
95,83,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
94,91,5,19-1021.00,Biochemists and Biophysicists
94,84,4,27-1024.00,Graphic Designers
94,73,4,27-3043.00,Writers and Authors
93,91,5,19-1029.01,Bioinformatics Scientists
93,79,4,21-2021.00,"Directors, Religious Activities and Education"
93,75,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
93,73,4,27-4032.00,Film and Video Editors
92,78,3,27-4014.00,Sound Engineering Technicians
91,92,5,25-1032.00,"Engineering Teachers, Postsecondary"
91,84,4,27-2041.00,Music Directors and Composers
91,82,4,27-2012.03,Media Programming Directors
91,79,4,27-2012.00,Producers and Directors
90,83,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
90,81,3,27-1012.00,Craft Artists
90,75,3,27-4021.00,Photographers
90,72,3,27-4031.00,"Camera Operators, Television, Video, and Film"
89,92,5,19-2011.00,Astronomers
89,84,4,17-1012.00,Landscape Architects
88,87,5,15-1221.00,Computer and Information Research Scientists
88,86,4,15-1299.08,Computer Systems Engineers/Architects
88,75,4,13-1151.00,Training and Development Specialists
88,65,4,39-9032.00,Recreation Workers
87,92,5,15-2021.00,Mathematicians
87,86,5,25-1125.00,"History Teachers, Postsecondary"
87,84,4,17-2199.08,Robotics Engineers
87,83,5,25-1067.00,"Sociology Teachers, Postsecondary"
87,82,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
87,79,5,17-1011.00,"Architects, Except Landscape and Naval"
87,78,5,25-1031.00,"Architecture Teachers, Postsecondary"
87,72,5,25-1122.00,"Communications Teachers, Postsecondary"
87,72,4,27-3031.00,Public Relations Specialists
86,88,5,19-2032.00,Materials Scientists
86,75,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
85,85,5,25-1042.00,"Biological Science Teachers, Postsecondary"
85,85,4,17-2061.00,Computer Hardware Engineers
85,85,5,25-1082.00,"Library Science Teachers, Postsecondary"
85,82,3,15-1254.00,Web Developers
85,71,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
85,70,4,13-1131.00,Fundraisers
85,66,2,27-2011.00,Actors
84,88,4,17-2031.00,Bioengineers and Biomedical Engineers
84,85,5,25-1021.00,"Computer Science Teachers, Postsecondary"
84,84,5,25-1054.00,"Physics Teachers, Postsecondary"
84,82,4,15-1251.00,Computer Programmers
84,78,5,25-1064.00,"Geography Teachers, Postsecondary"
84,75,5,25-4012.00,Curators
84,73,3,51-7032.00,"Patternmakers, Wood"
84,70,4,11-2022.00,Sales Managers
84,69,5,19-3093.00,Historians
84,67,4,13-1161.01,Search Marketing Strategists
84,64,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
83,91,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
83,88,4,17-2011.00,Aerospace Engineers
83,88,5,15-2031.00,Operations Research Analysts
83,84,5,19-3041.00,Sociologists
83,83,4,17-2072.01,Radio Frequency Identification Device Specialists
83,82,5,25-1063.00,"Economics Teachers, Postsecondary"
83,77,5,19-3091.00,Anthropologists and Archeologists
83,74,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
83,73,4,29-1125.00,Recreational Therapists
83,72,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
83,72,3,51-7031.00,"Model Makers, Wood"
83,69,5,11-1011.03,Chief Sustainability Officers
83,68,4,41-3011.00,Advertising Sales Agents
82,83,5,17-2199.09,Nanosystems Engineers
82,81,5,25-1065.00,"Political Science Teachers, Postsecondary"
82,80,5,19-1029.02,Molecular and Cellular Biologists
82,77,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
82,76,5,19-1029.04,Biologists
82,70,3,35-1011.00,Chefs and Head Cooks
82,69,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
82,67,4,11-2021.00,Marketing Managers
82,66,4,19-1031.03,Park Naturalists
82,56,3,27-1026.00,Merchandise Displayers and Window Trimmers
81,78,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
81,75,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
81,75,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
81,74,5,11-9041.00,Architectural and Engineering Managers
81,69,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
81,64,2,39-3092.00,Costume Attendants
80,83,4,17-2131.00,Materials Engineers
80,81,4,15-1299.01,Web Administrators
80,80,5,25-1112.00,"Law Teachers, Postsecondary"
80,74,5,25-1113.00,"Social Work Teachers, Postsecondary"
80,72,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
80,71,5,29-1141.02,Advanced Practice Psychiatric Nurses
80,71,5,19-3051.00,Urban and Regional Planners
80,69,2,51-6051.00,"Sewers, Hand"
80,64,4,27-2012.04,Talent Directors
79,89,5,19-2012.00,Physicists
79,80,5,19-3011.00,Economists
79,78,5,19-1011.00,Animal Scientists
79,78,4,17-2199.07,Photonics Engineers
79,73,3,27-4011.00,Audio and Video Technicians
79,73,4,13-1161.00,Market Research Analysts and Marketing Specialists
79,67,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
79,67,3,43-9031.00,Desktop Publishers
78,82,4,15-2099.01,Bioinformatics Technicians
78,80,5,17-2141.01,Fuel Cell Engineers
78,79,5,19-1029.03,Geneticists
78,77,4,17-2171.00,Petroleum Engineers
78,75,5,13-1111.00,Management Analysts
78,71,5,25-1081.00,"Education Teachers, Postsecondary"
78,71,5,29-2091.00,Orthotists and Prosthetists
78,70,4,21-1091.00,Health Education Specialists
78,67,5,11-9033.00,"Education Administrators, Postsecondary"
78,66,4,13-1075.00,Labor Relations Specialists
78,66,3,51-9195.05,"Potters, Manufacturing"
78,65,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
78,64,3,25-3021.00,Self-Enrichment Teachers
