Importance,Job Zone,Code,Occupation
98,5,29-1229.03,Urologists
96,3,29-2099.08,Patient Representatives
96,4,25-2057.00,"Special Education Teachers, Middle School"
96,5,25-2051.00,"Special Education Teachers, Preschool"
95,2,27-2011.00,Actors
95,4,11-9081.00,Lodging Managers
94,5,29-1141.02,Advanced Practice Psychiatric Nurses
94,4,25-2021.00,"Elementary School Teachers, Except Special Education"
94,4,27-4032.00,Film and Video Editors
94,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
94,4,29-1125.00,Recreational Therapists
93,3,29-1141.01,Acute Care Nurses
93,5,25-2059.01,Adapted Physical Education Specialists
93,5,29-1141.04,Clinical Nurse Specialists
93,3,29-2051.00,Dietetic Technicians
93,4,13-1121.00,"Meeting, Convention, and Event Planners"
93,2,11-9131.00,Postmasters and Mail Superintendents
93,3,25-3021.00,Self-Enrichment Teachers
93,4,11-9151.00,Social and Community Service Managers
92,4,27-2032.00,Choreographers
92,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
92,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
92,2,53-2031.00,Flight Attendants
92,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
92,5,29-9099.01,Midwives
92,4,29-1129.02,Music Therapists
92,5,29-1151.00,Nurse Anesthetists
92,3,31-9099.01,Speech-Language Pathology Assistants
92,2,43-2021.00,Telephone Operators
91,3,39-6012.00,Concierges
91,5,21-1022.00,Healthcare Social Workers
91,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
91,5,13-1111.00,Management Analysts
91,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
91,5,27-1027.00,Set and Exhibit Designers
90,5,29-1129.01,Art Therapists
90,3,35-1011.00,Chefs and Head Cooks
90,3,27-3092.00,Court Reporters and Simultaneous Captioners
90,5,25-9021.00,Farm and Home Management Educators
90,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
90,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
90,5,29-1122.00,Occupational Therapists
90,3,25-2011.00,"Preschool Teachers, Except Special Education"
90,3,39-9041.00,Residential Advisors
90,3,27-4014.00,Sound Engineering Technicians
89,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
89,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
89,5,25-1122.00,"Communications Teachers, Postsecondary"
89,3,33-2011.00,Firefighters
89,4,33-3021.06,Intelligence Analysts
89,5,21-1023.00,Mental Health and Substance Abuse Social Workers
89,2,39-9011.01,Nannies
89,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
89,3,31-2011.00,Occupational Therapy Assistants
89,5,29-1229.05,Preventive Medicine Physicians
89,4,11-2022.00,Sales Managers
89,5,19-3034.00,School Psychologists
89,3,39-5094.00,Skincare Specialists
89,4,25-2058.00,"Special Education Teachers, Secondary School"
89,5,29-1127.00,Speech-Language Pathologists
88,2,33-9011.00,Animal Control Workers
88,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
88,4,21-1094.00,Community Health Workers
88,4,15-1211.00,Computer Systems Analysts
88,4,29-1141.03,Critical Care Nurses
88,5,25-1032.00,"Engineering Teachers, Postsecondary"
88,5,29-1215.00,Family Medicine Physicians
88,3,27-1022.00,Fashion Designers
88,4,33-3031.00,Fish and Game Wardens
88,4,15-1299.09,Information Technology Project Managers
88,4,27-2012.05,Media Technical Directors/Managers
88,3,31-9092.00,Medical Assistants
88,5,29-1171.00,Nurse Practitioners
88,5,29-1218.00,Obstetricians and Gynecologists
88,3,29-1126.00,Respiratory Therapists
88,4,11-3131.00,Training and Development Managers
87,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
87,5,25-1011.00,"Business Teachers, Postsecondary"
87,5,11-1011.03,Chief Sustainability Officers
87,5,21-2011.00,Clergy
87,2,43-9021.00,Data Entry Keyers
87,3,29-1292.00,Dental Hygienists
87,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
87,4,17-2072.00,"Electronics Engineers, Except Computer"
87,4,11-9161.00,Emergency Management Directors
87,5,25-9031.00,Instructional Coordinators
87,5,29-2091.00,Orthotists and Prosthetists
87,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
87,5,29-1123.00,Physical Therapists
87,5,29-1071.00,Physician Assistants
87,3,29-2053.00,Psychiatric Technicians
87,3,29-9093.00,Surgical Assistants
86,4,11-2011.00,Advertising and Promotions Managers
86,4,27-1011.00,Art Directors
86,3,33-1011.00,First-Line Supervisors of Correctional Officers
86,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
86,4,13-1071.00,Human Resources Specialists
86,5,25-1082.00,"Library Science Teachers, Postsecondary"
86,5,29-1161.00,Nurse Midwives
86,3,31-1131.00,Nursing Assistants
86,3,31-2012.00,Occupational Therapy Aides
86,5,29-1022.00,Oral and Maxillofacial Surgeons
86,4,13-1151.00,Training and Development Specialists
85,3,53-2021.00,Air Traffic Controllers
85,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
85,5,29-1071.01,Anesthesiologist Assistants
85,2,49-3091.00,Bicycle Repairers
85,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
85,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
85,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
85,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
85,4,11-9121.01,Clinical Research Coordinators
85,4,13-2071.00,Credit Counselors
85,3,43-9031.00,Desktop Publishers
85,3,29-2032.00,Diagnostic Medical Sonographers
85,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
85,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
85,2,41-2012.00,Gambling Change Persons and Booth Cashiers
85,3,11-9071.00,Gambling Managers
85,5,19-3032.00,Industrial-Organizational Psychologists
85,4,27-2012.03,Media Programming Directors
85,5,21-1014.00,Mental Health Counselors
