Context,Job Zone,Code,Occupation
100,5,29-1215.00,Family Medicine Physicians
99,5,29-1022.00,Oral and Maxillofacial Surgeons
98,5,29-1241.00,"Ophthalmologists, Except Pediatric"
97,5,11-1011.00,Chief Executives
97,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
97,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
97,5,29-1217.00,Neurologists
97,3,33-3021.02,Police Identification and Records Officers
97,5,29-1224.00,Radiologists
96,3,53-2021.00,Air Traffic Controllers
96,5,29-1229.01,Allergists and Immunologists
96,5,29-1021.00,"Dentists, General"
96,4,29-2011.00,Medical and Clinical Laboratory Technologists
96,5,29-1229.06,Sports Medicine Physicians
95,2,49-3091.00,Bicycle Repairers
95,5,23-1011.00,Lawyers
95,5,29-1051.00,Pharmacists
95,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
94,5,29-1229.02,Hospitalists
94,5,29-1222.00,"Physicians, Pathologists"
94,5,29-1229.03,Urologists
93,5,29-1211.00,Anesthesiologists
93,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
93,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
93,5,29-1071.00,Physician Assistants
93,3,51-8012.00,Power Distributors and Dispatchers
93,5,29-1024.00,Prosthodontists
92,3,39-4011.00,Embalmers
92,3,49-3052.00,Motorcycle Mechanics
92,2,47-5013.00,"Service Unit Operators, Oil and Gas"
91,3,29-1141.01,Acute Care Nurses
91,3,53-2022.00,Airfield Operations Specialists
91,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
91,5,21-2011.00,Clergy
91,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
91,5,29-1218.00,Obstetricians and Gynecologists
91,5,29-1221.00,"Pediatricians, General"
91,3,33-3051.00,Police and Sheriff's Patrol Officers
91,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
91,3,11-9179.02,Spa Managers
90,2,53-1041.00,Aircraft Cargo Handling Supervisors
90,5,29-1011.00,Chiropractors
90,3,33-3021.00,Detectives and Criminal Investigators
90,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
90,2,53-7041.00,Hoist and Winch Operators
90,3,31-2021.00,Physical Therapist Assistants
90,3,49-2098.00,Security and Fire Alarm Systems Installers
89,4,11-3051.03,Biofuels Production Managers
89,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
89,3,33-3051.04,Customs and Border Protection Officers
89,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
89,5,11-9033.00,"Education Administrators, Postsecondary"
89,5,23-1012.00,Judicial Law Clerks
89,5,29-9099.01,Midwives
89,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
89,5,29-1131.00,Veterinarians
88,2,53-6031.00,Automotive and Watercraft Service Attendants
88,3,53-2012.00,Commercial Pilots
88,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
88,4,29-2011.01,Cytogenetic Technologists
88,2,49-9051.00,Electrical Power-Line Installers and Repairers
88,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
88,3,11-9071.00,Gambling Managers
88,4,11-1021.00,General and Operations Managers
88,4,11-9081.00,Lodging Managers
88,3,51-8011.00,Nuclear Power Reactor Operators
88,5,29-1161.00,Nurse Midwives
88,5,29-1023.00,Orthodontists
88,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
88,5,29-1123.00,Physical Therapists
88,4,11-3051.01,Quality Control Systems Managers
88,2,53-1042.01,Recycling Coordinators
88,3,29-2055.00,Surgical Technologists
