Context,Job Zone,Code,Occupation
100,5,11-1011.00,Chief Executives
99,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
99,5,29-1011.00,Chiropractors
99,2,13-1074.00,Farm Labor Contractors
99,5,25-1082.00,"Library Science Teachers, Postsecondary"
98,5,25-1125.00,"History Teachers, Postsecondary"
98,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
98,5,25-1112.00,"Law Teachers, Postsecondary"
98,5,29-1023.00,Orthodontists
98,5,19-3094.00,Political Scientists
96,5,29-1217.00,Neurologists
96,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
96,5,25-1054.00,"Physics Teachers, Postsecondary"
96,4,41-9021.00,Real Estate Brokers
96,5,19-3041.00,Sociologists
95,5,29-1021.00,"Dentists, General"
95,4,11-1021.00,General and Operations Managers
95,4,27-3043.05,"Poets, Lyricists and Creative Writers"
95,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
95,5,25-1067.00,"Sociology Teachers, Postsecondary"
95,5,29-1229.03,Urologists
94,2,45-2021.00,Animal Breeders
94,5,19-1029.01,Bioinformatics Scientists
94,5,19-3033.00,Clinical and Counseling Psychologists
94,4,11-3021.00,Computer and Information Systems Managers
94,5,29-1213.00,Dermatologists
94,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
94,5,19-3011.00,Economists
94,5,19-3011.01,Environmental Economists
94,2,51-3093.00,Food Cooking Machine Operators and Tenders
94,3,11-3051.02,Geothermal Production Managers
94,5,29-1229.06,Sports Medicine Physicians
93,5,19-2011.00,Astronomers
93,3,49-2097.00,Audiovisual Equipment Installers and Repairers
93,5,25-1042.00,"Biological Science Teachers, Postsecondary"
93,5,19-1029.04,Biologists
93,5,25-1011.00,"Business Teachers, Postsecondary"
93,5,25-1052.00,"Chemistry Teachers, Postsecondary"
93,5,25-1081.00,"Education Teachers, Postsecondary"
93,5,25-9021.00,Farm and Home Management Educators
93,3,27-1022.00,Fashion Designers
93,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
93,4,11-3121.00,Human Resources Managers
93,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
93,4,13-1121.00,"Meeting, Convention, and Event Planners"
93,5,25-1065.00,"Political Science Teachers, Postsecondary"
93,5,29-1024.00,Prosthodontists
93,3,41-9022.00,Real Estate Sales Agents
93,2,53-1042.01,Recycling Coordinators
93,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
92,4,41-3011.00,Advertising Sales Agents
92,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
92,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
92,5,21-2011.00,Clergy
92,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
92,5,25-4012.00,Curators
92,4,21-2021.00,"Directors, Religious Activities and Education"
92,5,25-1063.00,"Economics Teachers, Postsecondary"
92,5,11-9033.00,"Education Administrators, Postsecondary"
92,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
92,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
92,5,25-1064.00,"Geography Teachers, Postsecondary"
92,5,19-3032.00,Industrial-Organizational Psychologists
92,4,11-9081.00,Lodging Managers
92,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
92,4,27-2041.00,Music Directors and Composers
92,5,29-1218.00,Obstetricians and Gynecologists
92,3,33-3021.02,Police Identification and Records Officers
92,5,25-1066.00,"Psychology Teachers, Postsecondary"
92,2,23-2093.00,"Title Examiners, Abstractors, and Searchers"
92,3,49-9064.00,Watch and Clock Repairers
92,4,11-9199.10,Wind Energy Development Managers
91,3,53-2022.00,Airfield Operations Specialists
91,5,25-1021.00,"Computer Science Teachers, Postsecondary"
91,5,25-1032.00,"Engineering Teachers, Postsecondary"
91,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
91,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
91,4,11-2021.00,Marketing Managers
91,5,29-1241.00,"Ophthalmologists, Except Pediatric"
