Importance,Job Zone,Code,Occupation
97,5,29-1215.00,Family Medicine Physicians
97,5,29-1229.03,Urologists
95,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
95,5,29-1218.00,Obstetricians and Gynecologists
95,5,25-1066.00,"Psychology Teachers, Postsecondary"
94,5,25-1082.00,"Library Science Teachers, Postsecondary"
93,2,27-2011.00,Actors
93,4,27-2032.00,Choreographers
93,5,19-3041.00,Sociologists
93,4,25-2057.00,"Special Education Teachers, Middle School"
92,5,25-1042.00,"Biological Science Teachers, Postsecondary"
92,5,25-2051.00,"Special Education Teachers, Preschool"
91,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
91,5,25-1011.00,"Business Teachers, Postsecondary"
91,2,43-9021.00,Data Entry Keyers
91,5,25-1081.00,"Education Teachers, Postsecondary"
91,5,19-3032.00,Industrial-Organizational Psychologists
91,5,29-1022.00,Oral and Maxillofacial Surgeons
90,5,19-2011.00,Astronomers
90,5,19-1021.00,Biochemists and Biophysicists
90,5,25-1063.00,"Economics Teachers, Postsecondary"
90,4,27-4032.00,Film and Video Editors
90,5,29-1241.00,"Ophthalmologists, Except Pediatric"
90,4,27-3043.05,"Poets, Lyricists and Creative Writers"
89,5,11-1011.00,Chief Executives
89,3,27-2031.00,Dancers
89,5,11-3031.03,Investment Fund Managers
89,5,29-1151.00,Nurse Anesthetists
89,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
89,5,25-1067.00,"Sociology Teachers, Postsecondary"
89,3,27-4014.00,Sound Engineering Technicians
89,3,47-2022.00,Stonemasons
88,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
88,5,29-1229.01,Allergists and Immunologists
88,5,29-1071.01,Anesthesiologist Assistants
88,5,25-1122.00,"Communications Teachers, Postsecondary"
88,5,19-3011.00,Economists
88,4,13-1131.00,Fundraisers
88,5,25-1112.00,"Law Teachers, Postsecondary"
88,4,11-9081.00,Lodging Managers
88,5,25-1065.00,"Political Science Teachers, Postsecondary"
87,5,29-1211.00,Anesthesiologists
87,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
87,4,25-2021.00,"Elementary School Teachers, Except Special Education"
87,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
87,5,25-1125.00,"History Teachers, Postsecondary"
87,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
87,5,19-2012.00,Physicists
87,5,29-1024.00,Prosthodontists
86,4,15-2011.00,Actuaries
86,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
86,4,15-1251.00,Computer Programmers
86,5,25-1021.00,"Computer Science Teachers, Postsecondary"
86,5,19-3011.01,Environmental Economists
86,4,11-3031.00,Financial Managers
86,5,13-2099.01,Financial Quantitative Analysts
86,5,29-1216.00,General Internal Medicine Physicians
86,5,19-1029.03,Geneticists
86,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
86,5,15-2021.00,Mathematicians
86,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
86,4,27-2041.00,Music Directors and Composers
86,4,27-3023.00,"News Analysts, Reporters, and Journalists"
86,5,29-1222.00,"Physicians, Pathologists"
86,4,41-9021.00,Real Estate Brokers
86,4,11-9151.00,Social and Community Service Managers
86,5,29-1229.06,Sports Medicine Physicians
85,4,41-3011.00,Advertising Sales Agents
85,5,25-1031.00,"Architecture Teachers, Postsecondary"
85,2,27-2021.00,Athletes and Sports Competitors
85,5,19-1029.01,Bioinformatics Scientists
85,5,11-9033.00,"Education Administrators, Postsecondary"
85,3,27-1022.00,Fashion Designers
85,4,41-3021.00,Insurance Sales Agents
85,5,29-1071.00,Physician Assistants
85,3,41-9022.00,Real Estate Sales Agents
85,4,25-2058.00,"Special Education Teachers, Secondary School"
84,3,27-3092.00,Court Reporters and Simultaneous Captioners
84,5,25-1064.00,"Geography Teachers, Postsecondary"
84,5,19-1029.02,Molecular and Cellular Biologists
84,5,29-1299.01,Naturopathic Physicians
84,5,29-1221.00,"Pediatricians, General"
84,4,11-2022.00,Sales Managers
84,5,19-3034.00,School Psychologists
84,5,25-1113.00,"Social Work Teachers, Postsecondary"
83,5,29-1141.02,Advanced Practice Psychiatric Nurses
83,3,19-4012.00,Agricultural Technicians
83,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
83,3,53-6051.01,Aviation Inspectors
83,4,17-2031.00,Bioengineers and Biomedical Engineers
83,3,35-1011.00,Chefs and Head Cooks
83,5,29-1141.04,Clinical Nurse Specialists
83,5,29-1213.00,Dermatologists
83,3,29-2051.00,Dietetic Technicians
83,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
83,5,25-9021.00,Farm and Home Management Educators
83,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
83,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
83,5,23-1011.00,Lawyers
83,4,11-2021.00,Marketing Managers
83,5,29-1171.00,Nurse Practitioners
83,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
83,5,15-2031.00,Operations Research Analysts
83,3,29-2099.08,Patient Representatives
83,5,19-3094.00,Political Scientists
83,3,47-2152.04,Solar Thermal Installers and Technicians
83,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
83,3,29-9093.00,Surgical Assistants
83,2,41-9041.00,Telemarketers
83,4,11-3031.01,Treasurers and Controllers
82,3,53-2021.00,Air Traffic Controllers
82,5,19-1011.00,Animal Scientists
82,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
82,3,27-1012.00,Craft Artists
82,3,29-2032.00,Diagnostic Medical Sonographers
82,2,51-3092.00,Food Batchmakers
82,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
82,3,29-2092.00,Hearing Aid Specialists
82,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
82,5,13-1111.00,Management Analysts
82,4,17-2131.00,Materials Engineers
82,3,27-2042.00,Musicians and Singers
82,5,29-1081.00,Podiatrists
82,4,17-2199.08,Robotics Engineers
82,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
81,3,29-1141.01,Acute Care Nurses
81,5,19-3091.00,Anthropologists and Archeologists
81,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
81,4,17-2041.00,Chemical Engineers
81,4,11-9121.01,Clinical Research Coordinators
81,4,15-1299.08,Computer Systems Engineers/Architects
81,4,13-2071.00,Credit Counselors
81,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
81,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
81,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
81,4,21-1091.00,Health Education Specialists
81,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
81,4,33-3021.06,Intelligence Analysts
81,5,17-2199.09,Nanosystems Engineers
81,5,29-1217.00,Neurologists
81,3,43-4141.00,New Accounts Clerks
