Importance,Level,Job Zone,Code,Occupation
99,93,5,19-1021.00,Biochemists and Biophysicists
97,93,4,15-2011.00,Actuaries
96,97,5,19-3011.01,Environmental Economists
96,94,5,13-2099.01,Financial Quantitative Analysts
96,93,4,33-3021.06,Intelligence Analysts
96,93,5,15-2021.00,Mathematicians
96,92,5,15-2031.00,Operations Research Analysts
96,91,5,19-1041.00,Epidemiologists
96,90,5,19-3041.00,Sociologists
96,86,5,19-2043.00,Hydrologists
95,96,5,19-2011.00,Astronomers
95,92,5,19-3011.00,Economists
95,89,4,13-1161.00,Market Research Analysts and Marketing Specialists
94,90,4,15-2099.01,Bioinformatics Technicians
94,85,5,11-3031.03,Investment Fund Managers
94,85,5,19-3022.00,Survey Researchers
94,84,5,19-3091.00,Anthropologists and Archeologists
94,81,5,19-1029.01,Bioinformatics Scientists
93,94,5,15-2041.00,Statisticians
93,91,5,19-3094.00,Political Scientists
93,88,5,19-2032.00,Materials Scientists
93,82,4,15-1299.08,Computer Systems Engineers/Architects
92,87,5,25-1067.00,"Sociology Teachers, Postsecondary"
92,85,5,15-2041.01,Biostatisticians
92,85,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
92,84,4,15-2051.01,Business Intelligence Analysts
92,83,4,17-2041.00,Chemical Engineers
92,82,4,17-2031.00,Bioengineers and Biomedical Engineers
91,87,5,17-2199.09,Nanosystems Engineers
91,86,5,19-1011.00,Animal Scientists
91,86,5,19-3092.00,Geographers
91,86,5,19-2041.03,Industrial Ecologists
91,85,4,11-3031.01,Treasurers and Controllers
91,83,5,25-1125.00,"History Teachers, Postsecondary"
91,82,5,13-1111.00,Management Analysts
91,82,5,25-1065.00,"Political Science Teachers, Postsecondary"
91,81,5,29-1229.02,Hospitalists
91,80,4,13-2041.00,Credit Analysts
91,70,4,13-1161.01,Search Marketing Strategists
90,88,5,29-1217.00,Neurologists
90,87,5,19-2012.00,Physicists
90,84,4,17-1022.01,Geodetic Surveyors
90,81,5,19-1029.04,Biologists
90,81,4,15-1299.02,Geographic Information Systems Technologists and Technicians
90,76,4,17-2171.00,Petroleum Engineers
90,65,5,29-1224.00,Radiologists
89,86,5,15-1221.00,Computer and Information Research Scientists
89,86,4,15-1243.01,Data Warehousing Specialists
89,84,5,19-1029.03,Geneticists
89,84,4,11-9121.02,Water Resource Specialists
89,82,5,29-1241.00,"Ophthalmologists, Except Pediatric"
89,81,5,19-3032.00,Industrial-Organizational Psychologists
89,78,5,29-1151.00,Nurse Anesthetists
89,77,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
89,73,5,23-1012.00,Judicial Law Clerks
89,68,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
88,83,4,17-2011.00,Aerospace Engineers
88,83,4,17-2141.02,Automotive Engineers
88,83,5,25-1064.00,"Geography Teachers, Postsecondary"
88,82,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
88,82,4,15-1251.00,Computer Programmers
88,81,4,13-1081.01,Logistics Engineers
88,79,4,15-1241.00,Computer Network Architects
88,79,4,19-4061.00,Social Science Research Assistants
88,78,4,13-2061.00,Financial Examiners
88,76,4,13-1051.00,Cost Estimators
88,76,5,19-1029.02,Molecular and Cellular Biologists
88,72,5,29-1041.00,Optometrists
87,85,4,15-1243.00,Database Architects
87,85,5,25-1032.00,"Engineering Teachers, Postsecondary"
87,85,5,29-1229.06,Sports Medicine Physicians
87,80,5,29-1229.05,Preventive Medicine Physicians
87,78,4,13-2031.00,Budget Analysts
87,78,5,29-1216.00,General Internal Medicine Physicians
87,77,5,25-1082.00,"Library Science Teachers, Postsecondary"
87,77,5,19-1013.00,Soil and Plant Scientists
87,75,5,29-1071.00,Physician Assistants
87,74,5,11-9121.00,Natural Sciences Managers
86,82,4,17-2131.00,Materials Engineers
