Importance,Level,Job Zone,Code,Occupation
98,66,3,31-2021.00,Physical Therapist Assistants
96,88,4,11-3121.00,Human Resources Managers
95,85,5,11-1011.03,Chief Sustainability Officers
95,78,4,21-1091.00,Health Education Specialists
95,75,5,29-1071.00,Physician Assistants
94,83,4,11-3131.00,Training and Development Managers
94,80,4,11-9199.02,Compliance Managers
94,77,4,27-1014.00,Special Effects Artists and Animators
94,75,4,11-2021.00,Marketing Managers
94,73,5,29-1229.02,Hospitalists
94,63,4,21-1093.00,Social and Human Service Assistants
93,88,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
93,85,5,11-1011.00,Chief Executives
93,83,4,15-1299.09,Information Technology Project Managers
93,82,4,27-2012.03,Media Programming Directors
93,70,4,21-1021.00,"Child, Family, and School Social Workers"
92,83,4,11-9161.00,Emergency Management Directors
92,82,4,15-1211.01,Health Informatics Specialists
92,82,4,11-3031.01,Treasurers and Controllers
92,78,3,47-1011.03,Solar Energy Installation Managers
92,77,3,11-3051.02,Geothermal Production Managers
92,74,4,21-1094.00,Community Health Workers
92,71,2,43-5031.00,Public Safety Telecommunicators
92,60,4,13-1071.00,Human Resources Specialists
91,82,4,13-1199.04,Business Continuity Planners
91,74,4,11-9151.00,Social and Community Service Managers
91,73,2,53-1042.01,Recycling Coordinators
91,72,5,11-9041.00,Architectural and Engineering Managers
91,72,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
91,68,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
91,68,3,29-2099.08,Patient Representatives
91,66,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
91,66,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
91,64,5,29-1221.00,"Pediatricians, General"
91,62,3,29-2053.00,Psychiatric Technicians
90,87,4,13-1151.00,Training and Development Specialists
90,86,4,27-3031.00,Public Relations Specialists
90,84,5,13-1111.00,Management Analysts
90,80,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
90,80,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
90,79,5,11-9111.00,Medical and Health Services Managers
90,77,3,33-1011.00,First-Line Supervisors of Correctional Officers
90,77,5,25-1113.00,"Social Work Teachers, Postsecondary"
90,76,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
90,75,4,11-9021.00,Construction Managers
90,70,2,43-4151.00,Order Clerks
90,70,4,19-1031.02,Range Managers
90,68,5,25-9044.00,"Teaching Assistants, Postsecondary"
90,65,3,17-3027.00,Mechanical Engineering Technologists and Technicians
90,60,4,29-1141.00,Registered Nurses
89,84,5,25-9031.00,Instructional Coordinators
89,84,4,13-1199.05,Sustainability Specialists
89,81,5,11-9121.00,Natural Sciences Managers
89,77,4,33-3021.06,Intelligence Analysts
89,76,3,11-9199.09,Wind Energy Operations Managers
89,75,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
89,75,3,33-1012.00,First-Line Supervisors of Police and Detectives
89,70,4,33-3031.00,Fish and Game Wardens
89,69,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
89,69,5,21-1023.00,Mental Health and Substance Abuse Social Workers
89,65,3,27-4031.00,"Camera Operators, Television, Video, and Film"
89,64,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
89,62,2,31-1133.00,Psychiatric Aides
88,79,4,15-1299.08,Computer Systems Engineers/Architects
88,77,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
88,77,5,29-1151.00,Nurse Anesthetists
88,76,5,29-1161.00,Nurse Midwives
88,76,5,29-1229.05,Preventive Medicine Physicians
88,76,5,29-1229.06,Sports Medicine Physicians
88,72,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
88,70,4,21-1015.00,Rehabilitation Counselors
88,68,4,13-1121.00,"Meeting, Convention, and Event Planners"
87,84,4,11-3111.00,Compensation and Benefits Managers
87,84,2,49-9095.00,Manufactured Building and Mobile Home Installers
87,83,5,29-1141.04,Clinical Nurse Specialists
87,82,4,15-2051.01,Business Intelligence Analysts
87,81,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
87,81,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
87,79,4,11-9199.01,Regulatory Affairs Managers
87,78,5,19-3051.00,Urban and Regional Planners
87,76,3,33-3051.04,Customs and Border Protection Officers
87,76,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
87,76,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
87,75,4,13-2061.00,Financial Examiners
87,75,2,11-9131.00,Postmasters and Mail Superintendents
87,74,5,29-1129.01,Art Therapists
87,73,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
87,73,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
87,71,2,47-5081.00,Helpers--Extraction Workers
87,70,4,11-9081.00,Lodging Managers
87,67,5,29-1224.00,Radiologists
87,66,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
87,65,3,33-3011.00,Bailiffs
87,65,2,51-8099.01,Biofuels Processing Technicians
87,65,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
87,61,3,39-6012.00,Concierges
87,61,3,39-1022.00,First-Line Supervisors of Personal Service Workers
87,57,2,33-9032.00,Security Guards
86,80,4,13-1041.03,Equal Opportunity Representatives and Officers
86,78,4,11-9199.08,Loss Prevention Managers
86,78,4,19-5011.00,Occupational Health and Safety Specialists
86,77,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
86,76,5,27-1027.00,Set and Exhibit Designers
86,75,4,13-1041.07,Regulatory Affairs Specialists
86,74,3,31-9092.00,Medical Assistants
86,74,4,15-1299.01,Web Administrators
86,73,4,13-2011.00,Accountants and Auditors
86,73,3,29-1141.01,Acute Care Nurses
86,73,3,11-3012.00,Administrative Services Managers
86,72,3,33-3021.00,Detectives and Criminal Investigators
86,72,4,17-2051.02,Water/Wastewater Engineers
86,71,3,23-2011.00,Paralegals and Legal Assistants
86,70,2,45-2011.00,Agricultural Inspectors
86,70,5,19-2041.02,Environmental Restoration Planners
86,70,5,21-1022.00,Healthcare Social Workers
86,70,4,13-1081.00,Logisticians
86,69,4,19-2031.00,Chemists
86,69,3,11-9071.00,Gambling Managers
86,67,4,19-4061.00,Social Science Research Assistants
86,63,2,53-7062.04,Recycling and Reclamation Workers
86,60,2,43-4021.00,Correspondence Clerks
85,80,5,29-1217.00,Neurologists
85,78,4,11-3071.04,Supply Chain Managers
85,77,2,47-4051.00,Highway Maintenance Workers
85,77,4,19-3099.01,Transportation Planners
85,75,3,11-3051.06,Hydroelectric Production Managers
85,75,5,15-2031.00,Operations Research Analysts
85,75,2,33-3041.00,Parking Enforcement Workers
85,74,5,25-1042.00,"Biological Science Teachers, Postsecondary"
