Importance,Level,Job Zone,Code,Occupation
94,87,2,47-5081.00,Helpers--Extraction Workers
93,74,2,47-5013.00,"Service Unit Operators, Oil and Gas"
92,90,3,51-4041.00,Machinists
92,84,2,47-2072.00,Pile Driver Operators
92,74,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
91,88,2,49-9095.00,Manufactured Building and Mobile Home Installers
91,86,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
91,83,3,49-9081.00,Wind Turbine Service Technicians
91,80,1,45-4022.00,Logging Equipment Operators
91,78,2,53-4011.00,Locomotive Engineers
91,73,2,51-5112.00,Printing Press Operators
90,85,3,29-1124.00,Radiation Therapists
90,70,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
89,82,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
89,73,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
89,66,3,47-2011.00,Boilermakers
88,84,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
88,78,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
88,74,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
88,72,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
88,70,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
87,90,3,51-8013.04,Hydroelectric Plant Technicians
87,81,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
87,72,2,53-5011.00,Sailors and Marine Oilers
86,82,2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
86,79,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
86,73,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
86,72,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
86,72,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
86,72,2,51-6042.00,Shoe Machine Operators and Tenders
86,65,1,47-5011.00,"Derrick Operators, Oil and Gas"
86,65,2,51-3092.00,Food Batchmakers
85,92,3,51-9162.00,Computer Numerically Controlled Tool Programmers
85,87,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
85,81,3,51-9161.00,Computer Numerically Controlled Tool Operators
85,81,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
85,81,3,51-4062.00,"Patternmakers, Metal and Plastic"
85,79,2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
85,77,2,47-5043.00,"Roof Bolters, Mining"
85,76,2,51-8013.00,Power Plant Operators
85,75,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
85,73,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
85,70,2,47-2151.00,Pipelayers
85,68,2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
85,67,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
84,86,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
84,79,2,47-5041.00,Continuous Mining Machine Operators
84,73,2,49-9051.00,Electrical Power-Line Installers and Repairers
84,70,2,47-2061.00,Construction Laborers
84,68,2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
83,88,3,51-4061.00,"Model Makers, Metal and Plastic"
83,83,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
83,74,2,51-2031.00,Engine and Other Machine Assemblers
83,73,2,51-8013.03,Biomass Plant Technicians
83,73,1,45-4021.00,Fallers
82,81,3,53-2012.00,Commercial Pilots
82,78,2,49-9099.01,Geothermal Technicians
82,75,3,53-7021.00,Crane and Tower Operators
82,72,2,53-7081.00,Refuse and Recyclable Material Collectors
82,69,2,51-5113.00,Print Binding and Finishing Workers
82,66,2,51-4071.00,Foundry Mold and Coremakers
81,84,3,51-7032.00,"Patternmakers, Wood"
