Context,Job Zone,Code,Occupation
70,3,41-3041.00,Travel Agents
68,2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
67,4,29-2011.00,Medical and Clinical Laboratory Technologists
66,2,51-8091.00,Chemical Plant and System Operators
66,2,43-2021.00,Telephone Operators
65,3,53-2021.00,Air Traffic Controllers
65,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
65,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
64,2,51-8099.01,Biofuels Processing Technicians
63,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
62,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
61,3,13-1041.08,Customs Brokers
61,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
60,4,11-3051.03,Biofuels Production Managers
60,3,17-3024.01,Robotics Technicians
59,2,39-3021.00,Motion Picture Projectionists
58,3,51-9161.00,Computer Numerically Controlled Tool Operators
58,3,33-3051.04,Customs and Border Protection Officers
58,2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
57,2,51-8013.03,Biomass Plant Technicians
57,3,43-4011.00,Brokerage Clerks
57,1,51-6011.00,Laundry and Dry-Cleaning Workers
57,3,51-8021.00,Stationary Engineers and Boiler Operators
56,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
56,2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
56,3,13-1032.00,"Insurance Appraisers, Auto Damage"
56,2,43-9041.00,Insurance Claims and Policy Processing Clerks
56,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
55,3,51-8092.00,Gas Plant Operators
55,4,13-2072.00,Loan Officers
55,5,11-9111.00,Medical and Health Services Managers
55,2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
55,2,51-9083.00,Ophthalmic Laboratory Technicians
53,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
53,3,29-2012.00,Medical and Clinical Laboratory Technicians
53,2,51-8013.00,Power Plant Operators
52,2,49-9099.01,Geothermal Technicians
52,3,51-5111.00,Prepress Technicians and Workers
52,2,53-7081.00,Refuse and Recyclable Material Collectors
52,2,41-9041.00,Telemarketers
51,4,13-2011.00,Accountants and Auditors
51,2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51,3,51-4041.00,Machinists
51,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51,3,43-4141.00,New Accounts Clerks
51,3,51-8011.00,Nuclear Power Reactor Operators
51,2,43-3051.00,Payroll and Timekeeping Clerks
51,4,11-3061.00,Purchasing Managers
51,2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
51,2,23-2093.00,"Title Examiners, Abstractors, and Searchers"
50,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
50,4,13-2071.00,Credit Counselors
50,4,15-1299.03,Document Management Specialists
50,2,53-7031.00,Dredge Operators
50,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
49,4,15-2099.01,Bioinformatics Technicians
49,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
49,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
49,2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
49,4,13-1071.00,Human Resources Specialists
49,3,43-4131.00,Loan Interviewers and Clerks
49,4,13-1081.02,Logistics Analysts
49,2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
48,4,13-2031.00,Budget Analysts
48,4,15-1241.00,Computer Network Architects
48,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
48,4,15-1242.00,Database Administrators
48,4,15-1299.02,Geographic Information Systems Technologists and Technicians
48,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
48,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
48,3,29-1124.00,Radiation Therapists
47,2,43-3011.00,Bill and Account Collectors
47,2,53-6011.00,Bridge and Lock Tenders
47,2,51-9011.00,Chemical Equipment Operators and Tenders
47,2,51-3093.00,Food Cooking Machine Operators and Tenders
47,2,51-4071.00,Foundry Mold and Coremakers
47,2,43-5011.01,Freight Forwarders
47,2,43-3041.00,Gambling Cage Workers
47,4,13-2053.00,Insurance Underwriters
47,4,11-9081.00,Lodging Managers
47,2,53-7063.00,Machine Feeders and Offbearers
47,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
47,2,31-9095.00,Pharmacy Aides
47,2,43-4171.00,Receptionists and Information Clerks
46,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
46,4,17-2041.00,Chemical Engineers
46,4,15-1211.00,Computer Systems Analysts
46,2,43-4031.00,"Court, Municipal, and License Clerks"
