Importance,Level,Job Zone,Code,Occupation
96,80,5,29-1221.00,"Pediatricians, General"
95,90,4,13-1131.00,Fundraisers
95,87,4,11-9161.00,Emergency Management Directors
94,87,4,21-1094.00,Community Health Workers
94,86,4,11-3131.00,Training and Development Managers
94,84,4,11-3121.00,Human Resources Managers
94,81,4,29-1129.02,Music Therapists
93,89,4,21-1091.00,Health Education Specialists
93,85,4,27-2032.00,Choreographers
93,85,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
93,79,4,21-1021.00,"Child, Family, and School Social Workers"
93,76,5,29-1181.00,Audiologists
92,90,5,11-1011.03,Chief Sustainability Officers
92,88,5,19-3032.00,Industrial-Organizational Psychologists
92,84,4,11-2021.00,Marketing Managers
92,83,4,13-1151.00,Training and Development Specialists
92,81,5,29-1141.04,Clinical Nurse Specialists
92,80,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
92,76,3,39-6012.00,Concierges
91,87,5,25-9031.00,Instructional Coordinators
91,83,5,29-1141.02,Advanced Practice Psychiatric Nurses
91,81,4,21-2021.00,"Directors, Religious Activities and Education"
91,81,5,29-1223.00,Psychiatrists
91,80,4,13-2052.00,Personal Financial Advisors
91,68,3,31-2021.00,Physical Therapist Assistants
90,85,5,25-9021.00,Farm and Home Management Educators
90,81,5,29-1161.00,Nurse Midwives
90,79,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
90,77,3,29-1292.00,Dental Hygienists
90,77,4,11-9179.01,Fitness and Wellness Coordinators
89,90,5,13-1111.00,Management Analysts
89,84,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
89,83,5,21-1014.00,Mental Health Counselors
89,82,5,19-3033.00,Clinical and Counseling Psychologists
89,80,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
89,79,5,29-1071.00,Physician Assistants
89,78,5,29-1229.02,Hospitalists
89,75,3,29-2099.08,Patient Representatives
89,73,2,27-2011.00,Actors
89,71,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
89,71,5,25-4022.00,Librarians and Media Collections Specialists
88,86,5,11-1011.00,Chief Executives
88,86,4,13-1075.00,Labor Relations Specialists
88,83,5,21-1022.00,Healthcare Social Workers
88,81,5,29-1229.01,Allergists and Immunologists
88,79,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
88,77,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
88,77,3,27-1022.00,Fashion Designers
88,75,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
88,72,4,41-3011.00,Advertising Sales Agents
87,83,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
87,83,4,25-2058.00,"Special Education Teachers, Secondary School"
87,81,4,41-9031.00,Sales Engineers
87,76,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
87,75,5,11-9121.00,Natural Sciences Managers
86,88,4,27-3031.00,Public Relations Specialists
86,85,5,25-1066.00,"Psychology Teachers, Postsecondary"
86,83,5,29-1229.05,Preventive Medicine Physicians
86,82,5,29-1129.01,Art Therapists
86,79,5,21-1023.00,Mental Health and Substance Abuse Social Workers
86,78,5,29-1291.00,Acupuncturists
86,78,4,11-3071.04,Supply Chain Managers
86,77,4,27-2022.00,Coaches and Scouts
86,77,4,11-9199.08,Loss Prevention Managers
86,75,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
86,74,4,29-1141.03,Critical Care Nurses
86,71,4,21-1015.00,Rehabilitation Counselors
85,84,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
85,83,4,33-3021.06,Intelligence Analysts
85,80,5,11-9033.00,"Education Administrators, Postsecondary"
85,80,3,41-9022.00,Real Estate Sales Agents
85,78,5,29-9099.01,Midwives
85,77,4,29-1125.00,Recreational Therapists
85,77,3,29-9093.00,Surgical Assistants
85,76,2,47-4051.00,Highway Maintenance Workers
85,76,5,11-9111.00,Medical and Health Services Managers
85,73,4,11-3061.00,Purchasing Managers
85,73,4,29-1141.00,Registered Nurses
85,70,4,27-1011.00,Art Directors
85,69,4,29-1128.00,Exercise Physiologists
85,68,3,27-4031.00,"Camera Operators, Television, Video, and Film"
84,83,4,11-2022.00,Sales Managers
84,81,4,13-1199.05,Sustainability Specialists
84,80,4,19-1031.02,Range Managers
84,79,5,29-1217.00,Neurologists
84,77,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
84,77,5,29-1023.00,Orthodontists
84,76,4,11-9199.02,Compliance Managers
84,75,3,39-9041.00,Residential Advisors
84,72,4,27-2041.00,Music Directors and Composers
84,72,4,27-2012.04,Talent Directors
84,71,4,13-2072.00,Loan Officers
84,71,3,11-9179.02,Spa Managers
84,70,4,27-3043.00,Writers and Authors
83,82,4,15-1211.01,Health Informatics Specialists
