Importance,Job Zone,Code,Occupation
96,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
95,4,27-3043.05,"Poets, Lyricists and Creative Writers"
95,5,25-1066.00,"Psychology Teachers, Postsecondary"
94,5,25-1011.00,"Business Teachers, Postsecondary"
94,3,27-3092.00,Court Reporters and Simultaneous Captioners
94,4,27-4032.00,Film and Video Editors
94,5,25-1113.00,"Social Work Teachers, Postsecondary"
93,3,29-2032.00,Diagnostic Medical Sonographers
93,5,25-1064.00,"Geography Teachers, Postsecondary"
93,5,25-1065.00,"Political Science Teachers, Postsecondary"
92,5,25-1122.00,"Communications Teachers, Postsecondary"
92,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
92,4,41-3021.00,Insurance Sales Agents
92,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
92,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
92,5,29-1229.03,Urologists
91,2,33-9011.00,Animal Control Workers
91,2,43-9021.00,Data Entry Keyers
91,3,29-2051.00,Dietetic Technicians
90,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
90,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
90,5,25-1031.00,"Architecture Teachers, Postsecondary"
90,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
90,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
90,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
89,5,11-1011.00,Chief Executives
89,4,15-1251.00,Computer Programmers
89,3,35-2013.00,"Cooks, Private Household"
89,5,25-9021.00,Farm and Home Management Educators
89,5,25-1125.00,"History Teachers, Postsecondary"
89,5,29-1218.00,Obstetricians and Gynecologists
88,5,29-1141.02,Advanced Practice Psychiatric Nurses
88,5,29-1229.01,Allergists and Immunologists
88,5,25-1042.00,"Biological Science Teachers, Postsecondary"
88,4,21-1094.00,Community Health Workers
88,4,33-3031.00,Fish and Game Wardens
88,5,23-1012.00,Judicial Law Clerks
88,4,11-9081.00,Lodging Managers
88,3,29-2012.00,Medical and Clinical Laboratory Technicians
88,5,29-1151.00,Nurse Anesthetists
88,5,19-3041.00,Sociologists
87,5,25-1021.00,"Computer Science Teachers, Postsecondary"
87,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
87,3,29-1292.00,Dental Hygienists
87,5,29-1213.00,Dermatologists
87,2,51-9194.00,Etchers and Engravers
87,3,29-2092.00,Hearing Aid Specialists
87,5,25-1112.00,"Law Teachers, Postsecondary"
87,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
87,5,29-1022.00,Oral and Maxillofacial Surgeons
87,3,49-2098.00,Security and Fire Alarm Systems Installers
87,4,19-4061.00,Social Science Research Assistants
87,3,31-9099.01,Speech-Language Pathology Assistants
86,5,19-2011.00,Astronomers
86,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
86,5,19-1029.01,Bioinformatics Scientists
86,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
86,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
86,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
86,3,39-1022.00,First-Line Supervisors of Personal Service Workers
86,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
86,5,25-9031.00,Instructional Coordinators
86,4,27-3091.00,Interpreters and Translators
86,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
86,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
86,3,31-9092.00,Medical Assistants
86,2,31-9093.00,Medical Equipment Preparers
86,5,29-1217.00,Neurologists
86,3,29-2033.00,Nuclear Medicine Technologists
86,3,51-9195.05,"Potters, Manufacturing"
86,4,39-9032.00,Recreation Workers
86,3,29-1126.00,Respiratory Therapists
86,5,25-1067.00,"Sociology Teachers, Postsecondary"
86,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
85,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
85,5,29-1071.01,Anesthesiologist Assistants
85,4,27-2032.00,Choreographers
85,4,21-1091.00,Health Education Specialists
85,5,25-1082.00,"Library Science Teachers, Postsecondary"
85,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
85,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
85,2,33-3041.00,Parking Enforcement Workers
85,5,29-1123.00,Physical Therapists
85,4,41-9021.00,Real Estate Brokers
85,4,21-1015.00,Rehabilitation Counselors
85,5,27-1027.00,Set and Exhibit Designers
85,3,39-5094.00,Skincare Specialists
84,4,19-4021.00,Biological Technicians
84,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
84,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
84,3,13-1041.00,Compliance Officers
84,5,29-2011.02,Cytotechnologists
84,5,25-1081.00,"Education Teachers, Postsecondary"
84,3,27-1022.00,Fashion Designers
84,2,53-2031.00,Flight Attendants
