Importance,Level,Job Zone,Code,Occupation
98,95,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
98,94,5,29-1229.06,Sports Medicine Physicians
98,93,5,29-1217.00,Neurologists
98,84,5,29-1224.00,Radiologists
96,89,3,53-2021.00,Air Traffic Controllers
95,91,5,29-1211.00,Anesthesiologists
95,91,5,29-1131.00,Veterinarians
95,90,5,29-1241.00,"Ophthalmologists, Except Pediatric"
95,89,5,29-1229.02,Hospitalists
95,86,5,29-1041.00,Optometrists
95,81,5,29-1221.00,"Pediatricians, General"
94,88,5,11-1011.00,Chief Executives
94,83,5,15-2021.00,Mathematicians
94,83,4,11-3031.01,Treasurers and Controllers
94,82,5,29-1229.05,Preventive Medicine Physicians
94,81,5,15-2031.00,Operations Research Analysts
94,75,4,29-1141.03,Critical Care Nurses
94,68,5,21-1013.00,Marriage and Family Therapists
93,89,5,19-1021.00,Biochemists and Biophysicists
93,88,5,29-1071.00,Physician Assistants
93,86,5,29-1218.00,Obstetricians and Gynecologists
93,83,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
93,80,4,17-2051.01,Transportation Engineers
93,79,5,23-1011.00,Lawyers
93,76,4,17-2021.00,Agricultural Engineers
93,75,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
93,74,5,29-1141.04,Clinical Nurse Specialists
93,73,3,11-9199.09,Wind Energy Operations Managers
93,67,4,27-2012.05,Media Technical Directors/Managers
92,87,5,29-1223.00,Psychiatrists
92,85,4,11-9161.00,Emergency Management Directors
92,83,4,17-2031.00,Bioengineers and Biomedical Engineers
92,83,5,13-1111.00,Management Analysts
92,81,4,17-2061.00,Computer Hardware Engineers
92,79,5,11-9033.00,"Education Administrators, Postsecondary"
92,67,2,53-1042.01,Recycling Coordinators
91,88,5,29-1171.00,Nurse Practitioners
91,87,5,29-1151.00,Nurse Anesthetists
91,84,5,15-1221.00,Computer and Information Research Scientists
91,84,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
91,83,4,15-2011.00,Actuaries
91,83,5,29-1299.01,Naturopathic Physicians
91,83,5,29-1229.03,Urologists
91,82,5,29-1141.02,Advanced Practice Psychiatric Nurses
91,80,5,11-1011.03,Chief Sustainability Officers
91,80,4,17-2072.01,Radio Frequency Identification Device Specialists
91,78,4,17-2141.02,Automotive Engineers
91,78,4,15-1299.08,Computer Systems Engineers/Architects
91,76,5,29-1021.00,"Dentists, General"
91,76,3,33-3021.00,Detectives and Criminal Investigators
91,72,5,29-9091.00,Athletic Trainers
91,72,4,17-2199.08,Robotics Engineers
91,67,4,13-2053.00,Insurance Underwriters
90,85,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
90,84,5,19-2011.00,Astronomers
90,84,2,49-9095.00,Manufactured Building and Mobile Home Installers
90,84,5,19-3051.00,Urban and Regional Planners
90,81,5,29-1161.00,Nurse Midwives
90,79,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
90,79,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
90,79,5,11-9121.00,Natural Sciences Managers
90,77,4,17-1022.00,Surveyors
90,75,5,19-3032.00,Industrial-Organizational Psychologists
90,73,4,11-9199.08,Loss Prevention Managers
90,72,4,13-1161.01,Search Marketing Strategists
90,69,3,47-4021.00,Elevator and Escalator Installers and Repairers
90,58,3,33-3052.00,Transit and Railroad Police
89,89,5,29-1229.01,Allergists and Immunologists
89,81,4,17-2051.02,Water/Wastewater Engineers
89,80,5,19-1041.00,Epidemiologists
89,80,5,29-1222.00,"Physicians, Pathologists"
89,79,5,19-1029.01,Bioinformatics Scientists
89,79,4,29-1141.00,Registered Nurses
89,79,4,11-9199.01,Regulatory Affairs Managers
89,78,5,29-1181.00,Audiologists
89,78,4,21-2021.00,"Directors, Religious Activities and Education"
89,78,3,33-1012.00,First-Line Supervisors of Police and Detectives
89,77,4,13-1161.00,Market Research Analysts and Marketing Specialists
89,76,4,13-1075.00,Labor Relations Specialists
89,76,4,11-9199.10,Wind Energy Development Managers
89,75,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
89,75,3,29-9093.00,Surgical Assistants
89,69,3,27-4014.00,Sound Engineering Technicians
89,68,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
89,68,2,43-5031.00,Public Safety Telecommunicators
89,64,3,49-9071.00,"Maintenance and Repair Workers, General"
89,59,4,13-1121.00,"Meeting, Convention, and Event Planners"
89,55,3,39-1022.00,First-Line Supervisors of Personal Service Workers
88,83,4,19-3099.01,Transportation Planners
88,82,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
88,82,4,11-9121.02,Water Resource Specialists
88,81,5,13-2099.01,Financial Quantitative Analysts
88,80,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
88,79,5,29-1022.00,Oral and Maxillofacial Surgeons
88,79,3,33-3051.00,Police and Sheriff's Patrol Officers
88,78,4,11-3121.00,Human Resources Managers
88,77,4,27-2012.03,Media Programming Directors
88,77,4,11-3051.01,Quality Control Systems Managers
88,76,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
88,75,4,15-1255.01,Video Game Designers
88,74,4,11-3021.00,Computer and Information Systems Managers
88,71,4,17-2112.03,Manufacturing Engineers
88,71,5,29-2091.00,Orthotists and Prosthetists
88,71,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
88,71,3,15-1241.01,Telecommunications Engineering Specialists
88,67,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
88,67,5,29-1123.00,Physical Therapists
88,65,3,51-8013.04,Hydroelectric Plant Technicians
88,64,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
88,63,3,13-1032.00,"Insurance Appraisers, Auto Damage"
87,84,5,29-1216.00,General Internal Medicine Physicians
87,83,4,17-2011.00,Aerospace Engineers
87,83,4,33-3031.00,Fish and Game Wardens
87,80,5,19-2032.00,Materials Scientists
87,79,4,17-2081.00,Environmental Engineers
87,78,5,11-3031.03,Investment Fund Managers
87,77,4,17-2199.07,Photonics Engineers
87,76,5,21-1023.00,Mental Health and Substance Abuse Social Workers
87,75,4,17-2171.00,Petroleum Engineers
87,73,4,13-2052.00,Personal Financial Advisors
87,73,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
87,70,3,51-8021.00,Stationary Engineers and Boiler Operators
87,69,3,49-3052.00,Motorcycle Mechanics
87,67,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
87,60,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
87,57,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
86,83,5,11-9041.00,Architectural and Engineering Managers
86,83,4,17-2051.00,Civil Engineers
86,83,5,29-1024.00,Prosthodontists
86,81,4,15-1241.00,Computer Network Architects
86,80,4,17-2131.00,Materials Engineers
86,78,4,17-1022.01,Geodetic Surveyors
86,78,5,19-2043.00,Hydrologists
86,77,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
86,77,5,19-1029.03,Geneticists
86,77,5,29-1081.00,Podiatrists
86,77,3,51-8012.00,Power Distributors and Dispatchers
86,75,4,17-2041.00,Chemical Engineers
86,74,4,11-9021.00,Construction Managers
86,74,4,19-1031.02,Range Managers
86,73,4,11-9199.02,Compliance Managers
86,72,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
86,72,4,17-2112.02,Validation Engineers
86,71,4,15-1251.00,Computer Programmers
86,71,5,17-2199.06,Microsystems Engineers
86,71,4,19-5011.00,Occupational Health and Safety Specialists
86,70,4,19-1031.00,Conservation Scientists
86,70,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
86,69,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
86,66,4,11-3051.00,Industrial Production Managers
86,66,2,33-9032.00,Security Guards
86,64,4,11-1021.00,General and Operations Managers
86,64,4,21-1015.00,Rehabilitation Counselors
86,61,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
86,60,2,49-9099.01,Geothermal Technicians
85,81,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
85,79,4,15-1243.00,Database Architects
85,78,4,17-1012.00,Landscape Architects
85,77,5,17-1011.00,"Architects, Except Landscape and Naval"
85,76,4,15-1299.09,Information Technology Project Managers
85,76,5,11-9111.00,Medical and Health Services Managers
85,75,5,19-1029.04,Biologists
85,75,5,25-1021.00,"Computer Science Teachers, Postsecondary"
85,75,3,33-3051.04,Customs and Border Protection Officers
85,75,4,17-2071.00,Electrical Engineers
85,75,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
85,74,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
85,74,4,13-1131.00,Fundraisers
85,74,4,11-3071.04,Supply Chain Managers
85,73,5,25-9031.00,Instructional Coordinators
85,72,3,33-3011.00,Bailiffs
85,72,3,11-3051.02,Geothermal Production Managers
85,72,4,11-9081.00,Lodging Managers
85,72,5,29-1122.00,Occupational Therapists
85,71,4,11-3111.00,Compensation and Benefits Managers
85,71,4,17-2112.00,Industrial Engineers
85,70,5,25-1054.00,"Physics Teachers, Postsecondary"
85,69,3,19-5012.00,Occupational Health and Safety Technicians
85,67,4,27-1025.00,Interior Designers
85,67,5,29-1299.02,Orthoptists
85,66,4,17-2141.00,Mechanical Engineers
85,66,2,11-9131.00,Postmasters and Mail Superintendents
