Importance,Level,Job Zone,Code,Occupation
86,86,5,11-1011.00,Chief Executives
85,74,4,15-1299.09,Information Technology Project Managers
82,72,4,11-9021.00,Construction Managers
78,68,3,11-3051.02,Geothermal Production Managers
77,72,4,11-9161.00,Emergency Management Directors
77,69,3,35-1011.00,Chefs and Head Cooks
76,50,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
75,70,2,47-5081.00,Helpers--Extraction Workers
75,68,5,29-1023.00,Orthodontists
73,74,4,11-3071.04,Supply Chain Managers
73,68,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
73,63,3,27-1022.00,Fashion Designers
73,63,5,11-9121.00,Natural Sciences Managers
72,69,5,11-1011.03,Chief Sustainability Officers
72,61,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
71,68,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
71,68,3,11-9199.09,Wind Energy Operations Managers
70,69,3,11-3051.06,Hydroelectric Production Managers
70,65,4,11-1021.00,General and Operations Managers
69,68,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
69,66,5,11-9111.00,Medical and Health Services Managers
69,66,4,13-1121.00,"Meeting, Convention, and Event Planners"
69,65,5,29-1011.00,Chiropractors
69,64,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
69,61,4,39-9032.00,Recreation Workers
69,60,3,11-3012.00,Administrative Services Managers
69,59,2,49-9094.00,Locksmiths and Safe Repairers
68,65,4,11-3121.00,Human Resources Managers
68,62,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
68,62,3,11-9071.00,Gambling Managers
67,71,4,11-3031.01,Treasurers and Controllers
67,65,2,53-1042.01,Recycling Coordinators
67,61,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
67,55,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
67,54,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
67,53,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
66,68,2,49-9095.00,Manufactured Building and Mobile Home Installers
