Importance,Level,Job Zone,Code,Occupation
94,81,4,21-1094.00,Community Health Workers
92,87,5,25-1113.00,"Social Work Teachers, Postsecondary"
92,83,4,27-2012.03,Media Programming Directors
92,73,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
91,91,4,15-1299.09,Information Technology Project Managers
91,82,4,13-1121.00,"Meeting, Convention, and Event Planners"
90,80,3,11-3051.02,Geothermal Production Managers
90,76,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
89,84,5,11-9121.00,Natural Sciences Managers
89,77,4,27-2012.05,Media Technical Directors/Managers
88,87,4,11-9021.00,Construction Managers
88,86,5,25-1031.00,"Architecture Teachers, Postsecondary"
88,84,5,25-9031.00,Instructional Coordinators
88,84,2,53-1042.01,Recycling Coordinators
88,82,3,27-1022.00,Fashion Designers
88,79,4,29-1141.00,Registered Nurses
87,86,5,13-1111.00,Management Analysts
87,86,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
87,85,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
87,83,4,21-2021.00,"Directors, Religious Activities and Education"
87,78,5,25-1081.00,"Education Teachers, Postsecondary"
86,85,4,11-9161.00,Emergency Management Directors
86,83,4,11-9121.01,Clinical Research Coordinators
86,82,3,47-1011.03,Solar Energy Installation Managers
86,81,4,11-3051.04,Biomass Power Plant Managers
86,79,4,15-1211.01,Health Informatics Specialists
86,76,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
86,67,3,39-9041.00,Residential Advisors
85,87,5,25-9021.00,Farm and Home Management Educators
85,85,4,25-2058.00,"Special Education Teachers, Secondary School"
85,83,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
85,81,5,11-9111.00,Medical and Health Services Managers
85,80,4,13-1081.00,Logisticians
85,78,3,11-3012.00,Administrative Services Managers
85,78,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
85,78,2,31-9093.00,Medical Equipment Preparers
85,76,3,35-1011.00,Chefs and Head Cooks
85,76,4,25-2021.00,"Elementary School Teachers, Except Special Education"
85,73,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
84,87,5,11-1011.03,Chief Sustainability Officers
84,85,4,27-1011.00,Art Directors
84,85,4,21-1091.00,Health Education Specialists
84,85,2,49-9095.00,Manufactured Building and Mobile Home Installers
84,84,4,11-2021.00,Marketing Managers
84,81,4,33-3021.06,Intelligence Analysts
84,78,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
84,78,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
84,76,3,29-1141.01,Acute Care Nurses
84,75,5,29-1021.00,"Dentists, General"
84,73,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
84,72,3,17-3027.00,Mechanical Engineering Technologists and Technicians
