Importance,Level,Job Zone,Code,Occupation
95,81,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
95,71,2,53-2031.00,Flight Attendants
94,70,2,41-9011.00,Demonstrators and Product Promoters
93,87,5,29-1024.00,Prosthodontists
93,80,3,33-3051.00,Police and Sheriff's Patrol Officers
93,78,5,29-1181.00,Audiologists
93,75,3,29-2081.00,"Opticians, Dispensing"
93,73,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
93,73,3,39-5094.00,Skincare Specialists
93,69,2,41-2031.00,Retail Salespersons
92,77,5,29-1021.00,"Dentists, General"
92,77,3,33-2021.00,Fire Inspectors and Investigators
92,75,3,39-5011.00,Barbers
92,74,2,39-6011.00,Baggage Porters and Bellhops
92,68,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
92,58,2,49-3091.00,Bicycle Repairers
91,82,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
91,80,2,43-5031.00,Public Safety Telecommunicators
91,76,3,11-9171.00,Funeral Home Managers
91,69,4,21-1094.00,Community Health Workers
90,77,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
89,81,3,33-1012.00,First-Line Supervisors of Police and Detectives
89,79,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
89,73,5,29-1022.00,Oral and Maxillofacial Surgeons
89,71,5,29-1041.00,Optometrists
89,62,3,29-2057.00,Ophthalmic Medical Technicians
88,76,3,33-3052.00,Transit and Railroad Police
88,74,3,31-9011.00,Massage Therapists
88,63,3,31-2012.00,Occupational Therapy Aides
87,75,3,33-3021.00,Detectives and Criminal Investigators
87,72,5,25-9021.00,Farm and Home Management Educators
87,72,3,31-2021.00,Physical Therapist Assistants
87,68,2,43-4171.00,Receptionists and Information Clerks
87,61,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
86,79,4,21-1091.00,Health Education Specialists
86,77,3,27-4021.00,Photographers
86,77,3,29-1124.00,Radiation Therapists
86,75,2,39-4021.00,Funeral Attendants
86,73,4,21-1021.00,"Child, Family, and School Social Workers"
86,72,4,29-1141.03,Critical Care Nurses
86,71,3,29-2034.00,Radiologic Technologists and Technicians
86,69,1,39-3091.00,Amusement and Recreation Attendants
86,63,2,41-2021.00,Counter and Rental Clerks
86,62,5,29-1123.00,Physical Therapists
86,56,2,41-2011.00,Cashiers
85,80,2,53-4041.00,Subway and Streetcar Operators
85,76,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
