Interest Code,Job Zone,Code,Occupation,Featured
R,1,45-2091.00,Agricultural Equipment Operators,Y
RE,1,47-2051.00,Cement Masons and Concrete Finishers,Y
RC,1,53-7011.00,Conveyor Operators and Tenders,
RC,1,35-2011.00,"Cooks, Fast Food",Y
RC,1,51-9031.00,"Cutters and Trimmers, Hand",
RCI,1,47-5011.00,"Derrick Operators, Oil and Gas",Y
RCS,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Y
RC,1,35-9021.00,Dishwashers,Y
RC,1,45-4021.00,Fallers,
RC,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Y
RCS,1,35-3023.00,Fast Food and Counter Workers,Y
RIE,1,45-3031.00,Fishing and Hunting Workers,Y
R,1,47-2043.00,Floor Sanders and Finishers,
RC,1,35-2021.00,Food Preparation Workers,Y
RC,1,45-2041.00,"Graders and Sorters, Agricultural Products",
RC,1,51-9022.00,"Grinding and Polishing Workers, Hand",
RC,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Y
RC,1,37-3011.00,Landscaping and Groundskeeping Workers,Y
RC,1,51-6011.00,Laundry and Dry-Cleaning Workers,Y
RIC,1,45-4022.00,Logging Equipment Operators,Y
RC,1,37-2012.00,Maids and Housekeeping Cleaners,Y
R,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Y
R,1,51-9123.00,"Painting, Coating, and Decorating Workers",
R,1,47-2161.00,Plasterers and Stucco Masons,Y
RC,1,51-6021.00,"Pressers, Textile, Garment, and Related Materials",
RC,1,47-5051.00,"Rock Splitters, Quarry",Y
R,1,47-5071.00,"Roustabouts, Oil and Gas",Y
R,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Y
RC,1,51-6031.00,Sewing Machine Operators,
RC,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders,
RCI,2,45-2011.00,Agricultural Inspectors,
RC,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",
RS,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Y
RI,2,45-2021.00,Animal Breeders,
RC,2,39-2021.00,Animal Caretakers,Y
RSC,2,33-9011.00,Animal Control Workers,
R,2,39-2011.00,Animal Trainers,Y
RE,2,27-2021.00,Athletes and Sports Competitors,
RC,2,53-6031.00,Automotive and Watercraft Service Attendants,
R,2,49-3021.00,Automotive Body and Related Repairers,
RCE,2,49-3022.00,Automotive Glass Installers and Repairers,
RC,2,39-6011.00,Baggage Porters and Bellhops,
RC,2,51-3011.00,Bakers,Y
RCI,2,49-3091.00,Bicycle Repairers,
RCI,2,51-8099.01,Biofuels Processing Technicians,
RCI,2,51-8013.03,Biomass Plant Technicians,
RCI,2,47-2021.00,Brickmasons and Blockmasons,
RCE,2,53-6011.00,Bridge and Lock Tenders,
RS,2,53-3052.00,"Bus Drivers, Transit and Intercity",Y
RCE,2,51-3021.00,Butchers and Meat Cutters,
RC,2,51-7011.00,Cabinetmakers and Bench Carpenters,
RCI,2,47-2031.00,Carpenters,
RE,2,47-2041.00,Carpet Installers,
RC,2,51-9011.00,Chemical Equipment Operators and Tenders,
RC,2,51-8091.00,Chemical Plant and System Operators,
RC,2,53-7061.00,Cleaners of Vehicles and Equipment,
RC,2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",
RCI,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",
RCI,2,51-2021.00,"Coil Winders, Tapers, and Finishers",
RC,2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",
RC,2,47-2061.00,Construction Laborers,Y
RCI,2,47-5041.00,Continuous Mining Machine Operators,
RC,2,35-2012.00,"Cooks, Institution and Cafeteria",
RE,2,35-2014.00,"Cooks, Restaurant",Y
RC,2,35-2015.00,"Cooks, Short Order",
RCI,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,
REC,2,33-3012.00,Correctional Officers and Jailers,
RCE,2,43-5021.00,Couriers and Messengers,
RCI,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",
RC,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",
RC,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",
RIC,2,51-9081.00,Dental Laboratory Technicians,Y
R,2,53-7031.00,Dredge Operators,
RCI,2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",
RE,2,53-3031.00,Driver/Sales Workers,
RC,2,47-2081.00,Drywall and Ceiling Tile Installers,
RIC,2,47-5023.00,"Earth Drillers, Except Oil and Gas",Y
