Interest Code,Job Zone,Code,Occupation,Featured
RCS,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Y
RCS,1,35-3023.00,Fast Food and Counter Workers,Y
SA,2,39-9011.00,Childcare Workers,Y
SER,2,33-9091.00,Crossing Guards and Flaggers,Y
SRE,2,35-3041.00,"Food Servers, Nonrestaurant",Y
SER,2,39-4021.00,Funeral Attendants,Y
SR,2,31-1121.00,Home Health Aides,Y
SEC,2,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",Y
SAE,2,39-9011.01,Nannies,Y
SRC,2,31-1122.00,Personal Care Aides,Y
SR,2,31-2022.00,Physical Therapist Aides,Y
SRC,2,31-1133.00,Psychiatric Aides,Y
SCE,2,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",Y
SEC,2,35-3031.00,Waiters and Waitresses,Y
RS,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Y
RS,2,53-3052.00,"Bus Drivers, Transit and Intercity",Y
ESC,2,43-4051.00,Customer Service Representatives,Y
ESC,2,53-2031.00,Flight Attendants,Y
ES,2,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Y
RS,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Y
CS,2,43-6013.00,Medical Secretaries and Administrative Assistants,Y
RSI,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Y
SIR,3,29-1141.01,Acute Care Nurses,Y
SR,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary",
SE,3,39-6012.00,Concierges,Y
SRC,3,29-1292.00,Dental Hygienists,Y
SIR,3,29-2051.00,Dietetic Technicians,Y
SCE,3,43-4061.00,"Eligibility Interviewers, Government Programs",Y
SRE,3,39-9031.00,Exercise Trainers and Group Fitness Instructors,Y
SIR,3,29-2092.00,Hearing Aid Specialists,Y
SR,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Y
SR,3,31-9011.00,Massage Therapists,Y
SCR,3,31-9092.00,Medical Assistants,Y
SCR,3,31-1131.00,Nursing Assistants,Y
SR,3,31-2012.00,Occupational Therapy Aides,
SR,3,31-2011.00,Occupational Therapy Assistants,Y
SE,3,29-2099.08,Patient Representatives,Y
SRI,3,31-2021.00,Physical Therapist Assistants,Y
SA,3,25-2011.00,"Preschool Teachers, Except Special Education",Y
SER,3,29-2053.00,Psychiatric Technicians,Y
SRC,3,29-1124.00,Radiation Therapists,Y
SEC,3,39-9041.00,Residential Advisors,Y
SIR,3,29-1126.00,Respiratory Therapists,
SAE,3,25-3021.00,Self-Enrichment Teachers,Y
SC,3,31-9099.01,Speech-Language Pathology Assistants,Y
SE,3,39-7011.00,Tour Guides and Escorts,
SAE,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",
SAC,4,25-2023.00,"Career/Technical Education Teachers, Middle School",
S,4,25-2032.00,"Career/Technical Education Teachers, Secondary School",
SE,4,21-1021.00,"Child, Family, and School Social Workers",Y
SRE,4,27-2022.00,Coaches and Scouts,Y
SIE,4,21-1094.00,Community Health Workers,Y
SIR,4,29-1141.03,Critical Care Nurses,Y
SEC,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",
SAC,4,25-2021.00,"Elementary School Teachers, Except Special Education",Y
SE,4,11-9161.00,Emergency Management Directors,Y
SEC,4,13-1041.03,Equal Opportunity Representatives and Officers,Y
SIR,4,29-1128.00,Exercise Physiologists,Y
SE,4,21-1091.00,Health Education Specialists,Y
SI,4,15-1211.01,Health Informatics Specialists,Y
SA,4,25-2012.00,"Kindergarten Teachers, Except Special Education",
SA,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Y
SAI,4,29-1129.02,Music Therapists,Y
SRA,4,19-1031.03,Park Naturalists,Y
SEC,4,21-1092.00,Probation Officers and Correctional Treatment Specialists,Y
SEA,4,39-9032.00,Recreation Workers,Y
SA,4,29-1125.00,Recreational Therapists,Y
SIC,4,29-1141.00,Registered Nurses,Y
SI,4,21-1015.00,Rehabilitation Counselors,Y
SAE,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",
SA,4,25-2057.00,"Special Education Teachers, Middle School",
SI,4,25-2058.00,"Special Education Teachers, Secondary School",
SAC,4,13-1151.00,Training and Development Specialists,Y
SI,4,25-3041.00,Tutors,Y
SRI,5,29-1291.00,Acupuncturists,
SR,5,25-2059.01,Adapted Physical Education Specialists,Y
SI,5,29-1141.02,Advanced Practice Psychiatric Nurses,Y
SIR,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",
SI,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",
SE,5,23-1022.00,"Arbitrators, Mediators, and Conciliators",Y
SA,5,25-1031.00,"Architecture Teachers, Postsecondary",
SIA,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Y
SAI,5,29-1129.01,Art Therapists,
SA,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",
SRI,5,29-9091.00,Athletic Trainers,Y
SI,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",
SI,5,25-1042.00,"Biological Science Teachers, Postsecondary",
SEI,5,25-1011.00,"Business Teachers, Postsecondary",
SIR,5,25-1052.00,"Chemistry Teachers, Postsecondary",
SIR,5,29-1011.00,Chiropractors,Y
SEA,5,21-2011.00,Clergy,
SA,5,25-1122.00,"Communications Teachers, Postsecondary",
SIC,5,25-1021.00,"Computer Science Teachers, Postsecondary",
SI,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",
SI,5,25-1063.00,"Economics Teachers, Postsecondary",
SAI,5,25-1081.00,"Education Teachers, Postsecondary",
S,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Y
SIR,5,25-1032.00,"Engineering Teachers, Postsecondary",
SAI,5,25-1123.00,"English Language and Literature Teachers, Postsecondary",
SIA,5,25-1053.00,"Environmental Science Teachers, Postsecondary",
SIA,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",
SRE,5,25-9021.00,Farm and Home Management Educators,
SAI,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",
SIR,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",
SIA,5,29-9092.00,Genetic Counselors,Y
SI,5,25-1064.00,"Geography Teachers, Postsecondary",
SI,5,25-1071.00,"Health Specialties Teachers, Postsecondary",
SI,5,21-1022.00,Healthcare Social Workers,Y
SIA,5,25-1125.00,"History Teachers, Postsecondary",
SI,5,29-1229.02,Hospitalists,
SIE,5,25-9031.00,Instructional Coordinators,Y
SIE,5,25-1112.00,"Law Teachers, Postsecondary",Y
SIC,5,25-1082.00,"Library Science Teachers, Postsecondary",
SIR,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",
