Context,Job Zone,Code,Occupation
99,2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
98,2,53-3031.00,Driver/Sales Workers
98,5,29-1222.00,"Physicians, Pathologists"
98,2,11-9131.00,Postmasters and Mail Superintendents
98,3,51-5111.00,Prepress Technicians and Workers
97,4,27-1011.00,Art Directors
97,4,27-2012.05,Media Technical Directors/Managers
97,4,27-3023.00,"News Analysts, Reporters, and Journalists"
96,2,51-9081.00,Dental Laboratory Technicians
96,4,29-2011.00,Medical and Clinical Laboratory Technologists
95,3,13-1041.08,Customs Brokers
95,4,29-2011.01,Cytogenetic Technologists
95,2,51-5112.00,Printing Press Operators
95,5,29-1224.00,Radiologists
95,2,47-5043.00,"Roof Bolters, Mining"
94,3,35-1011.00,Chefs and Head Cooks
94,3,39-4011.00,Embalmers
94,2,53-7041.00,Hoist and Winch Operators
94,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
93,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
93,2,43-5021.00,Couriers and Messengers
93,5,29-1215.00,Family Medicine Physicians
93,4,27-4032.00,Film and Video Editors
93,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
93,2,43-5011.01,Freight Forwarders
93,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
93,4,43-9081.00,Proofreaders and Copy Markers
92,2,53-1041.00,Aircraft Cargo Handling Supervisors
92,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
92,2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
92,2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
91,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
91,3,49-3023.00,Automotive Service Technicians and Mechanics
91,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
91,2,51-4192.00,"Layout Workers, Metal and Plastic"
91,4,27-2012.03,Media Programming Directors
91,4,27-3043.00,Writers and Authors
90,2,27-2011.00,Actors
90,2,53-6031.00,Automotive and Watercraft Service Attendants
90,3,43-4011.00,Brokerage Clerks
90,2,51-2051.00,Fiberglass Laminators and Fabricators
90,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
90,3,43-6012.00,Legal Secretaries and Administrative Assistants
90,5,21-1013.00,Marriage and Family Therapists
90,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
90,2,51-9083.00,Ophthalmic Laboratory Technicians
90,2,49-9096.00,Riggers
89,3,29-1141.01,Acute Care Nurses
89,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
89,3,49-2091.00,Avionics Technicians
89,4,27-3041.00,Editors
89,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
89,4,27-1024.00,Graphic Designers
89,3,13-1032.00,"Insurance Appraisers, Auto Damage"
89,4,13-2053.00,Insurance Underwriters
89,5,23-1011.00,Lawyers
89,4,13-1121.00,"Meeting, Convention, and Event Planners"
89,3,49-3052.00,Motorcycle Mechanics
89,2,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
89,2,49-9052.00,Telecommunications Line Installers and Repairers
89,5,29-1229.03,Urologists
88,2,49-3021.00,Automotive Body and Related Repairers
88,2,49-3091.00,Bicycle Repairers
88,3,43-9031.00,Desktop Publishers
