Importance,Level,Job Zone,Code,Occupation
97,88,5,29-1215.00,Family Medicine Physicians
96,89,5,29-1071.00,Physician Assistants
96,86,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
96,82,5,29-1221.00,"Pediatricians, General"
95,90,5,29-1229.01,Allergists and Immunologists
95,88,5,29-1216.00,General Internal Medicine Physicians
95,88,5,29-1041.00,Optometrists
94,92,5,19-1021.00,Biochemists and Biophysicists
94,86,5,29-9092.00,Genetic Counselors
94,85,5,29-1218.00,Obstetricians and Gynecologists
94,85,5,29-1222.00,"Physicians, Pathologists"
94,84,5,29-1181.00,Audiologists
93,89,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
93,87,5,29-1217.00,Neurologists
93,86,5,29-1229.06,Sports Medicine Physicians
93,82,5,29-1051.00,Pharmacists
92,84,5,25-1125.00,"History Teachers, Postsecondary"
92,83,5,25-1113.00,"Social Work Teachers, Postsecondary"
92,82,4,21-1091.00,Health Education Specialists
91,93,4,29-1141.00,Registered Nurses
91,91,5,25-1032.00,"Engineering Teachers, Postsecondary"
91,90,4,15-1299.08,Computer Systems Engineers/Architects
91,87,5,25-1042.00,"Biological Science Teachers, Postsecondary"
91,87,5,29-1141.04,Clinical Nurse Specialists
91,86,5,29-1141.02,Advanced Practice Psychiatric Nurses
91,86,5,29-1021.00,"Dentists, General"
91,86,5,29-1151.00,Nurse Anesthetists
91,85,5,29-1229.02,Hospitalists
91,84,4,27-2012.03,Media Programming Directors
91,83,5,25-1021.00,"Computer Science Teachers, Postsecondary"
91,81,4,13-1161.01,Search Marketing Strategists
90,89,5,25-1082.00,"Library Science Teachers, Postsecondary"
90,88,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
90,86,5,19-1011.00,Animal Scientists
90,86,5,29-1022.00,Oral and Maxillofacial Surgeons
90,83,3,31-9092.00,Medical Assistants
90,81,5,29-1161.00,Nurse Midwives
90,77,3,33-2021.00,Fire Inspectors and Investigators
89,89,5,29-1224.00,Radiologists
89,88,5,15-1221.00,Computer and Information Research Scientists
89,87,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
89,86,5,25-1064.00,"Geography Teachers, Postsecondary"
89,85,5,19-1029.04,Biologists
89,85,5,25-1065.00,"Political Science Teachers, Postsecondary"
89,83,4,11-9199.01,Regulatory Affairs Managers
89,80,4,29-1141.03,Critical Care Nurses
89,80,5,11-9121.00,Natural Sciences Managers
89,77,3,13-2082.00,Tax Preparers
88,88,5,29-1241.00,"Ophthalmologists, Except Pediatric"
88,86,5,17-2199.09,Nanosystems Engineers
88,86,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
88,85,5,19-1029.03,Geneticists
88,84,5,29-1223.00,Psychiatrists
88,84,5,19-3041.00,Sociologists
88,83,3,53-6051.01,Aviation Inspectors
88,82,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
88,82,5,29-1131.00,Veterinarians
88,81,4,21-1094.00,Community Health Workers
88,77,3,17-3027.00,Mechanical Engineering Technologists and Technicians
88,60,2,49-3091.00,Bicycle Repairers
87,88,5,19-1029.01,Bioinformatics Scientists
87,87,5,15-2021.00,Mathematicians
87,85,5,29-1291.00,Acupuncturists
87,85,4,17-2061.00,Computer Hardware Engineers
87,85,5,29-1229.05,Preventive Medicine Physicians
87,84,5,25-1031.00,"Architecture Teachers, Postsecondary"
87,84,5,19-2099.01,Remote Sensing Scientists and Technologists
87,83,5,19-1022.00,Microbiologists
87,83,5,25-1054.00,"Physics Teachers, Postsecondary"
87,82,4,19-2021.00,Atmospheric and Space Scientists
87,81,4,13-2052.00,Personal Financial Advisors
87,74,4,27-4032.00,Film and Video Editors
86,90,5,19-2011.00,Astronomers
86,85,5,25-1066.00,"Psychology Teachers, Postsecondary"
86,84,5,29-1211.00,Anesthesiologists
86,84,4,15-1241.00,Computer Network Architects
