Importance,Level,Job Zone,Code,Occupation
100,89,4,15-1299.08,Computer Systems Engineers/Architects
100,78,4,17-2072.01,Radio Frequency Identification Device Specialists
100,76,4,15-1242.00,Database Administrators
99,86,5,15-1221.00,Computer and Information Research Scientists
99,86,4,15-1251.00,Computer Programmers
99,83,4,15-1243.01,Data Warehousing Specialists
99,80,4,15-1231.00,Computer Network Support Specialists
99,76,5,13-2099.01,Financial Quantitative Analysts
99,71,4,15-1255.01,Video Game Designers
98,87,4,11-3021.00,Computer and Information Systems Managers
98,78,5,19-2011.00,Astronomers
98,78,5,19-1029.01,Bioinformatics Scientists
98,77,5,15-2031.00,Operations Research Analysts
98,77,4,15-1299.01,Web Administrators
98,75,4,15-2099.01,Bioinformatics Technicians
98,71,4,15-1299.02,Geographic Information Systems Technologists and Technicians
98,71,3,43-4131.00,Loan Interviewers and Clerks
98,57,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
97,87,4,15-1244.00,Network and Computer Systems Administrators
97,85,4,17-2061.00,Computer Hardware Engineers
97,76,4,17-2011.00,Aerospace Engineers
97,72,4,33-3021.06,Intelligence Analysts
97,71,3,15-1232.00,Computer User Support Specialists
97,69,4,15-1253.00,Software Quality Assurance Analysts and Testers
97,68,3,15-1254.00,Web Developers
97,64,4,27-4032.00,Film and Video Editors
97,58,4,27-2012.03,Media Programming Directors
97,58,3,13-2082.00,Tax Preparers
97,54,3,23-2011.00,Paralegals and Legal Assistants
96,88,4,15-1243.00,Database Architects
96,68,4,17-1022.01,Geodetic Surveyors
96,67,4,27-1014.00,Special Effects Artists and Animators
96,65,4,19-2021.00,Atmospheric and Space Scientists
96,56,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
96,55,5,25-4022.00,Librarians and Media Collections Specialists
96,55,4,13-1161.01,Search Marketing Strategists
96,45,3,31-9094.00,Medical Transcriptionists
95,90,4,15-1241.00,Computer Network Architects
95,72,4,27-1011.00,Art Directors
95,62,4,43-9111.00,Statistical Assistants
95,61,5,19-3022.00,Survey Researchers
95,59,5,25-1082.00,"Library Science Teachers, Postsecondary"
95,57,4,17-2199.10,Wind Energy Engineers
94,72,4,17-2199.08,Robotics Engineers
94,71,5,15-2041.00,Statisticians
94,68,4,15-1211.01,Health Informatics Specialists
94,62,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
94,62,5,25-1064.00,"Geography Teachers, Postsecondary"
94,62,2,43-5031.00,Public Safety Telecommunicators
94,61,3,17-3011.00,Architectural and Civil Drafters
94,61,4,13-1081.01,Logistics Engineers
94,61,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
94,58,5,29-1181.00,Audiologists
93,75,4,15-1212.00,Information Security Analysts
93,67,2,41-2022.00,Parts Salespersons
93,66,5,19-2099.01,Remote Sensing Scientists and Technologists
93,65,3,17-3013.00,Mechanical Drafters
93,61,4,15-2051.02,Clinical Data Managers
93,60,3,27-4014.00,Sound Engineering Technicians
