CId,PId,cValue,importanceRating
8,158,68.0,4
8,117,77.0,4
8,130,68.0,4
8,266,72.0,4
8,278,67.0,4
8,156,67.0,4
8,380,65.0,4
8,165,68.0,4
8,227,79.0,4
8,244,68.0,4
8,157,73.0,4
8,161,72.0,4
8,167,60.0,4
8,160,72.0,4
8,370,62.0,4
8,174,69.0,4
8,175,73.0,4
8,173,74.0,4
8,280,74.0,4
8,163,75.0,4
8,356,0.0,4
8,357,63.0,4
8,384,73.0,4
8,383,0.0,4
8,379,92.0,4
8,162,0.0,4
8,382,75.0,4
8,222,79.0,4
8,184,58.0,4
8,311,0.0,4
8,245,0.0,4
8,183,0.0,4
8,138,0.0,4
8,166,84.0,4
8,246,68.0,4
8,259,82.0,4
8,295,84.0,4
8,363,65.0,4
8,137,61.0,4
8,172,0.0,4
8,139,62.0,4
8,153,54.0,4
8,257,0.0,4
8,132,68.0,4
8,115,72.0,4
8,247,80.0,4
8,143,71.0,4
8,369,58.0,4
8,220,59.0,4
8,105,74.0,4
8,106,76.0,4
8,129,78.0,4
8,144,80.0,4
8,150,61.0,4
8,372,65.0,4
8,381,62.0,4
8,159,78.0,4
8,190,64.0,4
8,192,83.0,4
8,337,79.0,4
8,201,57.0,4
8,226,65.0,4
8,209,65.0,4
8,242,74.0,4
8,237,64.0,4
8,376,48.0,4
8,253,73.0,4
8,254,70.0,4
8,255,83.0,4
8,262,91.0,4
8,216,83.0,4
8,127,72.0,4
8,273,64.0,4
8,285,48.0,4
8,312,69.0,4
8,198,0.0,4
8,195,80.0,4
8,263,88.0,4
8,271,83.0,4
8,315,75.0,4
8,346,80.0,4
8,276,83.0,4
8,385,75.0,4
8,359,68.0,4
8,116,70.0,4
8,189,66.0,4
8,260,76.0,4
8,185,0.0,4
8,104,65.0,4
8,149,69.0,4
8,188,67.0,4
8,191,64.0,4
8,347,67.0,4
8,200,50.0,4
8,241,69.0,4
8,277,68.0,4
8,261,62.0,4
8,126,72.0,4
8,140,0.0,4
8,197,0.0,4
8,284,50.0,4
8,316,64.0,4
8,368,51.0,4
8,112,81.0,4
8,211,75.0,4
8,358,69.0,4
8,128,88.0,4
8,270,59.0,4
8,386,55.0,4
8,134,0.0,4
8,131,81.0,4
8,274,74.0,4
8,219,74.0,4
8,136,57.0,4
8,168,62.0,4
8,340,69.0,4
8,307,68.0,4
8,214,59.0,4
8,206,70.0,4
8,269,86.0,4
8,249,0.0,4
8,121,83.0,4
8,323,88.0,4
8,123,65.0,4
8,147,64.0,4
8,256,87.0,4
8,205,59.0,4
8,151,62.0,4
8,202,61.0,4
8,240,72.0,4
8,225,66.0,4
8,239,66.0,4
8,318,0.0,4
8,343,77.0,4
8,187,73.0,4
8,199,77.0,4
8,367,61.0,4
8,243,80.0,4
