Profile Id,Profile Name,User,Work Scheduling Autonomy, Work Scheduling Autonomy I,Decision Making Autonomy,Decision Making Autonomy I,Work Methods Autonomy,Work Methods Autonomy I,Task Variety,Task Variety I,Task Significance,Task Significance I,Task Identity,Task Identity I,Feedback from Job,Feedback from Job I,Job Complexity,Job Complexity I,Information Processing,Information Processing I,Problem Solving,Problem Solving I,Skill Variety,Skill Variety I,Specialization,Specialization I,Social Support,Social Support I,Initiated Interdependence,Initiated Interdependence I,Received Interdependence,Received Interdependence I,Interaction Outside Research Group,Interaction Outside Research Group I,Feedback from Others,Feedback from Others I,Faculty/project leader feedback,Faculty/project leader feedback I,Peer Feedback,Peer Feedback I,Ergonomics,Ergonomics I,Physical Demands,Physical Demands I,Work Conditions,Work Conditions I,Equipment Use,Equipment Use I
1,Dream Job,1,3,5,3,3,5,4,5,5,3,4,4,5,1,3,4,4,3,3,1,2,2,5,3,3,3,6,3,2,3,0,2,7,1,4,2,1,7,6,7,6,7,0,1,6,1,5
2,Professional Development,1,2,1,3,2,5,6,5,0,4,7,4,7,4,1,1,3,2,4,3,4,3,2,3,4,3,1,3,6,3,0,1,6,1,3,1,2,7,0,7,1,7,5,6,7,5,7
3,Dream Job,2,5,0,5,1,3,3,5,5,4,5,4,5,2,7,4,0,1,6,3,5,1,7,3,5,3,2,3,0,1,1,2,5,2,4,1,7,7,0,7,6,1,0,6,1,5,4
4,What I like,2,2,3,5,2,3,4,1,6,4,5,2,2,4,7,4,5,3,2,1,2,3,0,1,6,3,2,1,1,3,4,2,1,2,0,2,6,1,0,7,0,1,7,6,0,5,5
5,Dream Job,3,5,7,5,4,5,7,2,3,1,2,4,0,4,2,4,6,5,3,3,0,1,3,3,3,1,4,3,4,3,2,2,3,2,1,2,4,7,6,7,0,7,5,6,3,5,3
6,Best Internship,5,5,1,2,2,5,1,5,1,3,1,4,6,4,5,5,7,5,7,1,7,3,0,1,4,3,1,3,0,3,6,5,6,5,6,2,4,7,3,7,4,7,2,1,3,1,1
7,Dream Job,6,2,0,5,0,5,4,5,1,4,3,3,7,5,1,1,6,3,4,5,3,3,1,1,1,1,4,3,7,5,2,1,7,1,3,5,5,7,2,7,4,7,2,5,2,5,2
8,My Internship,7,5,6,3,3,5,3,5,6,4,5,5,1,3,4,4,0,3,3,3,1,5,7,3,5,3,7,1,1,1,6,2,4,2,3,1,4,5,5,7,0,1,0,6,3,5,4
9,High Tech Career,8,5,0,3,0,5,5,5,1,4,2,5,6,4,1,3,6,3,6,3,4,3,0,5,4,3,6,5,1,1,7,2,4,2,0,2,7,1,1,7,5,1,2,6,4,5,2
10,High Tech Career,9,5,4,5,6,3,0,3,4,1,6,4,2,4,6,4,5,3,3,3,3,3,0,3,3,1,6,3,5,3,3,1,6,2,3,2,4,7,0,7,0,7,2,6,1,5,7
